Name,Class,Hard Skills,Soft Skills,Creativity,Teamwork
Jamal Miller,1,2.1,3.18,4.24,4.67
Eva Wilson,1,1.85,2.39,3.59,2.62
Jamal Thomas,2,4.25,3.72,4.05,1.7
Grace Miller,1,3.79,4.1,3.3,4.05
Tariq Anderson,4,1.73,4.31,4.43,4.9
Grace Ali,4,1.79,2.83,4.5,2.24
Paul Johnson,3,2.48,1.84,2.04,1.75
Leo Hernandez,1,1.92,3.15,3.74,4.74
Grace Davis,1,1.98,1.9,3.23,1.98
Alice Smith,3,3.28,3.27,2.54,3.26
Jamal Jones,4,3.12,4.82,4.5,3.97
Daniel Lopez,1,2.2,3.86,3.29,1.64
Quinn Ben Ali,2,1.56,2.39,2.02,3.9
Alice Anderson,2,1.78,4.52,4.02,2.99
Khadija Smith,4,3.74,2.61,4.53,2.17
Jamal Thomas,4,2.38,4.97,3.9,2.8
Sara Anderson,2,4.94,2.81,2.04,1.77
Faris Garcia,2,2.81,4.98,2.77,3.21
Rania Kacem,4,2.48,1.55,2.01,4.6
Grace Ben Ali,4,1.6,4.21,3.94,1.63
Rania Anderson,2,1.84,2.4,4.16,3.65
Tariq Lee,4,4.82,1.65,3.89,2.51
Jamal Brown,1,3.41,2.03,2.51,4.88
Sara Davis,1,1.89,2.87,2.71,3.18
Tariq Jouini,4,2.68,4.03,4.42,3.46
Grace Cherif,3,3.65,4.32,2.66,4.73
Faris Hernandez,3,1.67,1.84,2.07,4.36
Faris Jones,2,1.62,2.09,3.88,3.26
Sara Taylor,4,3.31,3.51,2.12,1.92
Ines Taylor,4,2.55,1.9,3.86,2.85
Ines Wilson,2,3.3,2.38,4.44,4.5
Ines Ali,4,1.63,2.56,3.53,1.65
Clara Anderson,4,3.05,3.24,2.96,4.1
Faris Johnson,4,3.2,4.82,1.85,2.82
Khadija Kacem,2,4.39,4.09,2.66,2.01
Jamal Kacem,1,4.83,1.61,1.91,1.67
Clara Davis,3,1.72,4.72,3.54,4.18
Maya Johnson,1,4.54,4.75,1.63,3.06
Maya Johnson,4,4.13,3.97,2.16,2.04
Ines Taylor,2,2.03,2.61,3.19,3.08
Grace Brown,4,3.6,4.02,1.99,4.93
Leo Jouini,4,1.58,4.26,4.97,3.66
Leo Brown,3,4.6,4.05,2.95,4.74
Ines Martinez,1,4.66,4.27,2.01,3.81
Eva Hernandez,2,1.56,3.42,4.27,4.63
Daniel Jouini,3,3.48,3.34,4.98,4.85
Maya Johnson,3,2.97,4.92,4.55,2.46
Tariq Anderson,3,3.88,3.78,3.48,3.82
Tariq Wilson,1,4.01,2.75,2.01,1.67
Faris Lopez,1,4.79,2.08,2.07,2.23
Grace Hernandez,3,1.65,3.31,2.6,3.62
Clara Wilson,2,1.81,3.41,4.93,4.44
Maya Cherif,1,1.68,3.37,4.63,3.11
Rania Cherif,1,1.73,4.95,2.31,4.57
Daniel Johnson,4,3.97,4.26,4.17,3.18
Leo Miller,3,2.07,1.87,4.56,4.68
Omar Martinez,3,2.25,1.71,1.79,4.67
Tariq Smith,3,4.83,4.1,1.9,4.96
Alice Garcia,2,4.64,2.05,4.77,3.56
Clara Lee,4,4.91,2.69,3.85,3.57
Quinn Ali,4,2.01,4.93,3.39,2.12
Tariq Thomas,1,2.36,2.68,2.28,1.51
Paul Johnson,4,3.16,3.52,2.71,2.12
Paul Ben Ali,3,4.5,2.48,1.94,2.96
Quinn Brown,1,1.62,2.11,4.1,1.93
Maya Johnson,2,1.96,2.51,2.8,3.67
Rania Taylor,3,2.61,2.74,1.6,4.86
Faris Hernandez,1,4.32,3.05,2.55,4.52
Jamal Taylor,1,2.31,3.77,2.56,4.15
Jamal Johnson,3,4.57,2.63,3.88,1.76
Bob Anderson,4,4.38,3.7,4.36,2.54
Alice Smith,3,4.73,3.26,1.81,4.14
Clara Thomas,1,3.4,3.05,1.81,2.92
Paul Lopez,2,1.94,2.07,3.85,2.67
Daniel Smith,2,4.8,4.56,3.67,4.0
Khadija Wilson,2,4.89,3.1,3.94,3.91
Faris Hernandez,3,3.74,4.24,3.33,2.57
Ines Thomas,4,4.31,2.28,2.99,4.78
Leo Kacem,1,2.62,1.68,3.07,4.04
Maya Ali,2,2.63,3.57,4.28,1.65
Nabil Brown,4,4.23,3.59,2.41,4.36
Maya Brown,2,2.67,3.93,2.77,3.6
Rania Johnson,2,3.69,4.6,3.08,2.51
Daniel Martinez,2,4.73,2.37,4.54,3.47
Daniel Garcia,2,1.76,3.23,1.73,1.98
Nabil Lee,1,4.84,4.85,2.08,2.93
Rania Taylor,1,3.65,3.94,3.67,4.56
Rania Taylor,4,2.57,1.86,3.21,1.94
Tariq Davis,1,2.66,3.14,2.18,2.88
Quinn Smith,4,3.63,2.71,1.75,3.48
Omar Johnson,1,2.49,4.53,4.96,4.75
Khadija Hernandez,4,4.81,3.11,4.25,2.89
Daniel Lee,1,3.05,3.08,1.8,1.9
Rania Smith,4,1.66,3.0,3.42,4.79
Hassan Thomas,4,1.8,3.42,3.76,1.97
Jamal Miller,4,2.83,2.95,3.15,4.83
Ines Thomas,2,3.77,3.14,3.18,4.96
Nabil Garcia,4,4.74,2.01,4.89,2.21
Khadija Cherif,2,2.27,2.81,4.64,3.54
Alice Martinez,1,2.42,3.1,4.0,3.88
Maya Thomas,2,2.46,4.83,1.64,1.66
Leo Garcia,2,1.65,3.3,1.6,1.85
Hassan Davis,3,4.37,1.52,3.0,1.8
Maya Thomas,3,3.37,4.55,3.07,2.6
Ines Lee,1,3.3,4.1,3.64,4.61
Khadija Ali,3,2.28,4.94,3.78,3.74
Tariq Johnson,3,3.31,1.79,2.71,1.55
Omar Johnson,2,4.3,4.58,4.1,4.13
Tariq Anderson,3,3.04,1.53,2.54,3.77
Hassan Jouini,1,4.46,2.55,4.2,3.42
Rania Jones,3,4.25,3.88,2.82,4.99
Jamal Ali,1,2.25,2.81,4.8,3.79
Alice Ali,3,1.87,3.39,3.57,5.0
Sara Jouini,4,3.13,2.37,2.65,1.98
Grace Taylor,3,4.24,2.67,2.64,3.84
Ines Thomas,2,4.83,2.38,4.23,2.55
Paul Taylor,1,3.77,2.81,4.91,4.89
Rania Wilson,3,4.19,3.97,4.09,1.61
