first_name,last_name,class,hard_skills,soft_skills,teamwork,creativity,total_score
Fatma,Jlassi,5DS5,4.68,2.66,3.42,5.0,3.94
Asma,Lahmar,4BI2,3.35,5.0,5.0,3.83,4.3
Mariem,Turki,5SIM3,2.53,4.46,5.0,3.2,3.79
Wassim,Mabrouk,4BI2,5.0,1.29,1.65,1.7,2.41
Bechir,Zayani,4INFINI5,3.27,5.0,5.0,2.99,4.07
Chokri,Zouari,3IA,3.27,4.39,4.47,3.48,3.9
Sabrine,Ghanouchi,3A22,4.5,1.28,1.76,0.46,2.0
Hend,Gharbi,3A22,1.89,4.35,5.0,2.0,3.31
Marwen,Abidi,5ARCTIC5,5.0,3.47,2.14,3.65,3.57
Lobna,Ghanouchi,3A22,4.67,1.67,2.28,0.59,2.3
Asma,Jebali,4NIDS3,5.0,3.13,1.68,1.19,2.75
Hend,Rekik,4BI2,2.54,4.19,3.41,5.0,3.78
Nour,Guettari,4GAMIX1,1.67,3.59,2.57,5.0,3.21
Amine,Mejri,2P1,5.0,3.69,2.96,4.11,3.94
Adel,Chouchene,5SIM3,1.73,2.53,1.12,5.0,2.6
Ahmed,Zouari,5SIM3,3.8,3.57,4.12,5.0,4.12
Zied,Mejri,4SAE2,4.78,2.91,4.54,3.56,3.95
Nizar,Saidi,4GAMIX1,2.88,4.85,5.0,2.75,3.87
Zied,Khlifi,5DS5,2.92,2.79,1.45,2.93,2.52
Wassim,Khemiri,5TWIN2,5.0,2.94,2.58,1.19,2.93
Omar,Maaloul,5SLEAM2,4.26,0.7,2.56,0.0,1.88
Olfa,Ben Ali,5SIM3,2.3,5.0,5.0,2.27,3.64
Wassim,Nasri,2A40,4.35,5.0,4.48,5.0,4.71
Hela,Guettari,5NIDS3,4.88,2.82,0.95,1.04,2.42
Haythem,Zayani,4SE2,3.13,4.99,5.0,3.04,4.04
Adel,Karoui,4SIM3,4.31,4.08,3.75,4.64,4.19
Eya,Fourati,5BI2,3.49,4.67,4.52,3.17,3.96
Sami,Mansour,5TWIN2,3.05,3.62,3.58,3.4,3.41
Zied,Lahmar,4GAMIX1,2.67,4.19,2.86,4.28,3.5
Yasmine,Ayari,5NIDS3,5.0,1.6,1.92,1.81,2.58
Khalil,Ben Amor,5INFINI5,5.0,2.32,1.9,4.24,3.36
Eya,Kanzari,4IOSYS1,3.41,4.78,4.08,4.8,4.27
Mourad,Chouchene,2P1,4.82,1.66,2.8,0.76,2.51
Adel,Chebbi,4NIDS3,4.87,3.84,3.43,4.01,4.03
Omar,Chouchene,3IA,5.0,1.29,2.12,1.7,2.53
Amine,Khlifi,4NIDS3,5.0,1.83,2.07,0.95,2.46
Dorra,Rekik,4SLEAM2,2.49,4.14,3.96,5.0,3.9
Leila,Khlifi,5SIM3,2.21,5.0,4.95,3.24,3.85
Iheb,Chaabane,5BI2,2.21,5.0,4.68,2.91,3.7
Anis,Belkhir,4NIDS3,4.17,1.06,2.3,1.02,2.14
Mehdi,Makni,4GAMIX1,3.19,2.95,4.29,2.77,3.3
Mourad,Khemiri,3A22,1.81,3.11,2.09,3.61,2.66
Zaineb,Chebbi,4INFINI5,2.88,5.0,4.2,3.83,3.98
Mehdi,Belkhir,2P1,2.76,5.0,4.3,4.52,4.15
Hiba,Lahmar,5TWIN2,3.53,3.11,3.33,4.56,3.63
Mehdi,Miled,4GAMIX1,2.09,2.94,1.54,5.0,2.89
Asma,Miled,5SE2,1.58,1.24,2.01,4.73,2.39
Yasmine,Makni,5BI2,1.65,5.0,5.0,2.22,3.47
Sofiene,Jaziri,4ARCTIC5,3.23,5.0,5.0,3.69,4.23
Lotfi,Abidi,5NIDS3,2.36,5.0,5.0,2.94,3.83
Farah,Gharbi,5NIDS3,2.81,5.0,4.2,3.43,3.86
Rym,Ferjani,1A20,2.39,3.81,5.0,3.97,3.79
Amine,Cherif,5TWIN2,2.91,4.7,3.42,5.0,4.01
Hamza,Khlifi,5IOSYS1,3.11,4.0,3.3,4.57,3.75
Fethi,Gharbi,2P1,3.22,4.57,4.32,5.0,4.28
Sabrine,Abidi,4SIM3,2.72,5.0,3.91,3.09,3.68
Tarek,Mejri,4ARCTIC5,1.88,4.79,5.0,5.0,4.17
Lina,Belkhir,5IOSYS1,4.42,3.65,3.45,3.82,3.84
Hela,Makni,5SE2,4.36,3.21,4.37,5.0,4.24
Khalil,Baccouche,1A20,4.9,2.29,2.71,2.26,3.04
Zaineb,Abidi,3IA,3.89,4.19,4.18,4.79,4.26
Khalil,Chebbi,4SIM3,4.1,5.0,5.0,2.65,4.19
Oussama,Khemiri,4DS5,4.6,2.66,3.48,4.11,3.71
Sarra,Ghanouchi,5DS5,3.23,3.18,4.79,3.79,3.75
Olfa,Chouchene,4DS5,1.26,5.0,5.0,2.52,3.45
Ghada,Hamdi,3IA,3.76,4.11,5.0,5.0,4.47
Amel,Baccouche,5BI2,4.11,5.0,3.86,5.0,4.49
Rania,Ayari,5INFINI5,5.0,1.45,2.36,1.8,2.65
Hend,Haddad,5GAMIX1,5.0,0.94,2.72,1.48,2.54
Amina,Cherif,4GAMIX1,3.25,5.0,5.0,2.98,4.06
Youssef,Jebali,5GAMIX1,2.82,2.71,4.96,1.83,3.08
Hela,Chouchene,4SAE2,4.81,1.64,3.46,2.52,3.11
Chokri,Ben Ali,4NIDS3,2.06,2.34,2.74,3.39,2.63
Hedi,Jebali,5INFINI5,5.0,0.63,3.1,0.62,2.34
Iheb,Ammar,3A22,5.0,1.95,0.0,2.06,2.25
Mariem,Khlifi,5GAMIX1,5.0,0.79,2.65,0.39,2.21
Hedi,Chaabane,5GAMIX1,5.0,3.34,4.49,5.0,4.46
Nour,Rekik,5SIM3,5.0,3.37,2.85,4.26,3.87
Oumaima,Zayani,4SIM3,1.96,4.16,4.74,2.96,3.45
Youssef,Bouazizi,5SE2,5.0,1.96,3.37,0.97,2.83
Zied,Ammar,4TWIN2,5.0,0.18,2.43,1.66,2.32
Aymen,Kanzari,5SLEAM2,4.73,2.89,2.1,4.49,3.55
Aymen,Nasri,3IA,2.75,3.39,0.09,4.78,2.75
Hend,Maaloul,4SLEAM2,3.35,4.55,4.2,4.4,4.13
Fethi,Karoui,5ARCTIC5,2.11,5.0,4.81,4.01,3.98
Leila,Ayari,4ARCTIC5,3.55,4.63,4.81,3.02,4.0
Rania,Fourati,5INFINI5,1.27,1.97,3.01,4.98,2.81
Rim,Ghanouchi,3IA,1.69,4.65,4.38,3.0,3.43
Wided,Driss,4ARCTIC5,2.32,5.0,5.0,3.27,3.9
Nadia,Mabrouk,4SLEAM2,3.13,3.61,3.61,4.19,3.63
Sarra,Jebali,5SLEAM2,1.91,5.0,5.0,3.53,3.86
Wafa,Jebali,4BI2,5.0,1.05,2.34,1.17,2.39
Iheb,Turki,5SIM3,5.0,2.52,3.21,4.48,3.8
Mehdi,Slimani,4NIDS3,1.92,4.72,5.0,3.02,3.66
Siwar,Ayari,4INFINI5,3.5,4.72,4.44,3.96,4.16
Sami,Slimani,2P1,5.0,1.78,1.29,1.06,2.28
Sabrine,Khlifi,5IOSYS1,3.01,2.56,2.66,4.63,3.21
Hedi,Chebbi,4NIDS3,4.94,1.62,2.2,1.02,2.45
Chokri,Khlifi,5SE2,2.21,1.42,1.28,4.36,2.32
Tarek,Driss,4BI2,5.0,3.12,4.08,3.53,3.93
Hichem,Jaziri,5SIM3,5.0,0.9,2.54,0.89,2.33
Anis,Chouchene,4IOSYS1,3.95,3.13,3.25,3.53,3.47
Hiba,Driss,4IOSYS1,3.25,3.33,4.03,5.0,3.9
Hedi,Zayani,5SE2,2.46,3.95,3.95,4.74,3.78
Mariem,Chebbi,4TWIN2,3.29,3.35,3.12,4.87,3.66
Youssef,Ammar,4SE2,1.63,4.94,4.41,2.63,3.4
Sonia,Zayani,5BI2,2.94,4.18,3.35,4.92,3.85
Chokri,Saidi,4SLEAM2,5.0,1.82,2.27,0.79,2.47
Sofiene,Ben Ali,4TWIN2,3.38,5.0,4.34,3.17,3.97
Wassim,Turki,5NIDS3,4.96,3.5,3.2,3.69,3.84
Nadia,Ben Ali,2P1,3.22,4.3,4.15,5.0,4.17
Amina,Zouari,1A20,0.84,3.41,2.03,4.54,2.7
Lina,Jaziri,5ARCTIC5,5.0,2.11,2.38,0.41,2.48
Khalil,Zouari,4DS5,0.86,2.37,0.69,5.0,2.23
Youssef,Toumi,4SAE2,4.43,1.84,0.88,0.55,1.93
Siwar,Bouazizi,4TWIN2,5.0,1.06,2.76,1.98,2.7
Farah,Khemiri,4NIDS3,4.59,0.74,2.28,0.0,1.9
Nadia,Ferjani,5SAE2,5.0,1.54,1.16,1.25,2.24
Hamza,Kanzari,4DS5,2.48,3.57,5.0,5.0,4.01
Nizar,Sassi,5TWIN2,4.32,2.51,2.96,4.08,3.47
Khadija,Rekik,4NIDS3,4.29,1.33,1.87,0.0,1.87
Nabil,Khlifi,5SIM3,4.37,2.12,2.46,0.97,2.48
Anis,Toumi,4SE2,3.11,2.73,4.51,4.29,3.66
Iheb,Kanzari,4IOSYS1,2.59,4.94,4.37,5.0,4.23
Samira,Ben Amor,4SIM3,3.39,3.27,3.09,5.0,3.69
Mariem,Chaabane,5IOSYS1,0.62,1.63,1.1,4.64,2.0
Mehdi,Jlassi,4DS5,5.0,2.39,2.7,3.99,3.52
Manel,Khlifi,5BI2,4.91,2.63,3.78,4.87,4.05
Rym,Ben Amor,4SE2,3.69,4.94,5.0,3.35,4.25
Rim,Haddad,3B10,4.17,1.07,1.31,1.79,2.08
Ahmed,Maaloul,4BI2,3.25,3.56,4.84,4.64,4.07
Walid,Khlifi,1A20,0.86,2.25,1.45,5.0,2.39
Hichem,Haddad,5SIM3,5.0,2.06,2.01,1.18,2.56
Hedi,Mabrouk,5SIM3,2.06,4.84,4.96,2.32,3.55
Wassim,Ben Amor,5TWIN2,2.7,4.26,3.32,5.0,3.82
Sarra,Bouazizi,4SAE2,2.85,2.83,3.7,5.0,3.6
Ismail,Driss,5BI2,4.63,1.74,2.43,0.57,2.34
Lotfi,Ammar,4DS5,1.26,3.24,2.33,5.0,2.96
Tarek,Fourati,5SAE2,2.28,3.89,3.07,4.59,3.46
Chokri,Cherif,4BI2,5.0,2.68,3.47,5.0,4.04
Wafa,Jlassi,5SIM3,5.0,1.73,2.27,0.85,2.46
Chokri,Maaloul,2P1,5.0,1.96,1.3,1.64,2.47
Mouna,Sassi,5INFINI5,4.04,2.5,3.72,4.04,3.57
Ghassen,Lahmar,2P1,2.9,2.9,4.45,4.86,3.78
Khalil,Belkhir,5INFINI5,1.56,1.21,3.61,5.0,2.84
Hela,Ghanouchi,5TWIN2,3.21,4.46,3.23,3.92,3.71
Ismail,Zayani,4DS5,3.68,2.97,2.96,3.82,3.36
Amel,Trabelsi,5IOSYS1,4.53,0.88,2.26,0.0,1.92
Nadia,Trabelsi,4ARCTIC5,4.86,1.95,2.7,4.28,3.45
Mehdi,Bouazizi,4GAMIX1,5.0,1.11,2.06,0.65,2.2
Mouna,Kanzari,4SE2,2.34,4.98,4.71,2.91,3.73
Omar,Mabrouk,1A20,5.0,1.72,1.27,1.63,2.4
Sabrine,Mansour,5GAMIX1,4.5,1.91,2.17,1.12,2.42
Lobna,Zouari,5DS5,4.99,2.43,3.41,3.97,3.7
Dorra,Abidi,1A20,5.0,2.88,4.03,3.78,3.92
Emna,Mejri,3A22,2.31,5.0,4.21,4.14,3.91
Asma,Zayani,5SLEAM2,4.58,3.01,3.63,3.93,3.79
Dorra,Fourati,5INFINI5,4.43,2.87,3.18,4.63,3.78
Eya,Khemiri,1A20,0.98,3.12,2.01,5.0,2.78
Yasmine,Ben Salah,5TWIN2,4.09,2.61,3.57,4.78,3.76
Amina,Ammar,3IA,2.04,5.0,5.0,2.09,3.53
Skander,Miled,5DS5,3.27,1.05,1.58,0.25,1.54
Youssef,Makni,4NIDS3,2.01,3.53,3.22,4.87,3.41
Marwen,Ammar,4TWIN2,2.56,3.08,2.73,5.0,3.34
Olfa,Sassi,5SAE2,2.31,4.27,5.0,3.22,3.7
Omar,Hamdi,3A22,2.01,4.05,2.12,4.6,3.2
Foued,Bouazizi,4DS5,5.0,3.3,3.41,4.15,3.96
Adel,Zayani,5SIM3,3.95,2.47,3.17,4.18,3.44
Ines,Jlassi,5BI2,4.79,3.39,3.99,4.35,4.13
Mouna,Ben Salah,4GAMIX1,5.0,0.62,1.33,0.07,1.76
Skander,Mansour,1A20,2.61,4.04,0.96,3.25,2.72
Mouna,Jlassi,2A40,1.39,2.82,2.03,5.0,2.81
Leila,Chouchene,5SIM3,5.0,1.03,0.7,1.05,1.95
Amel,Miled,4DS5,1.3,1.91,3.77,5.0,2.99
Omar,Mansour,5DS5,3.57,5.0,4.83,3.76,4.29
Sami,Jaziri,2A40,1.29,2.37,2.54,5.0,2.8
Salma,Haddad,5INFINI5,1.29,1.98,2.0,5.0,2.57
Nizar,Nasri,4DS5,1.43,2.9,4.41,4.01,3.19
Hiba,Baccouche,5BI2,3.41,1.17,1.29,1.09,1.74
Sarra,Chaabane,5SE2,5.0,0.6,3.15,0.19,2.24
Nour,Abidi,4SLEAM2,2.7,3.68,3.66,3.02,3.27
Farah,Zouari,5DS5,3.03,5.0,3.7,4.16,3.97
Wided,Ben Amor,4SE2,4.49,3.19,2.81,3.57,3.51
Wafa,Chaabane,4GAMIX1,5.0,0.65,0.79,1.58,2.01
Mourad,Ayari,3B10,4.98,2.65,3.51,3.39,3.63
Zied,Ayari,3IA,2.18,2.95,3.31,5.0,3.36
Nour,Mansour,5ARCTIC5,5.0,0.51,1.87,1.88,2.32
Lotfi,Turki,5ARCTIC5,2.3,4.32,4.64,2.9,3.54
Adel,Ammar,4SAE2,2.79,3.57,4.23,2.15,3.18
Youssef,Zouari,5NIDS3,1.9,2.43,1.61,5.0,2.73
Sabrine,Zayani,5DS5,4.32,3.66,2.93,4.06,3.74
Nizar,Ayari,3A22,4.23,1.17,2.8,1.19,2.35
Marwen,Karoui,2P1,2.83,5.0,5.0,2.39,3.81
Manel,Khemiri,3A22,2.83,4.59,5.0,2.88,3.83
Foued,Khlifi,3A22,5.0,2.56,2.89,0.0,2.61
Bechir,Fourati,4IOSYS1,2.0,5.0,4.21,3.25,3.61
Sofiene,Turki,5BI2,3.57,4.39,4.37,5.0,4.33
Hend,Ben Amor,1A20,4.36,3.87,3.47,3.08,3.69
Wided,Kanzari,4IOSYS1,2.08,3.14,3.3,4.6,3.28
Walid,Zayani,4ARCTIC5,2.72,4.68,3.68,5.0,4.02
Oussama,Chaabane,5BI2,5.0,1.58,1.34,0.45,2.09
Nour,Trabelsi,5SLEAM2,5.0,1.03,2.78,0.9,2.43
Iheb,Mabrouk,5INFINI5,2.97,3.58,3.73,4.88,3.79
Sofiene,Mabrouk,4GAMIX1,1.02,2.13,2.21,4.91,2.57
Mohamed,Gharbi,5ARCTIC5,0.65,2.73,3.18,5.0,2.89
Chaima,Makni,5DS5,4.23,5.0,2.74,2.88,3.71
Karim,Belkhir,5SE2,1.62,5.0,5.0,3.09,3.68
Rym,Bouazizi,5SE2,3.5,3.77,4.55,3.49,3.83
Marwen,Driss,5ARCTIC5,2.75,4.55,4.07,3.2,3.64
Hiba,Chebbi,5GAMIX1,3.04,3.36,4.3,4.85,3.89
Nour,Chebbi,5DS5,1.91,4.06,4.86,1.8,3.16
Sabrine,Mabrouk,5IOSYS1,4.73,1.18,2.19,0.35,2.11
Anis,Abidi,4BI2,2.69,4.56,3.91,3.92,3.77
Walid,Chouchene,3IA,1.9,4.06,5.0,3.79,3.69
Yasmine,Kanzari,4INFINI5,3.52,4.54,5.0,3.47,4.13
Hiba,Abidi,3IA,2.15,5.0,3.44,2.44,3.26
Oumaima,Nasri,4GAMIX1,4.56,3.03,3.98,3.91,3.87
Manel,Guettari,5SLEAM2,3.36,3.78,5.0,4.24,4.1
Wided,Makni,3B10,4.95,1.43,2.28,0.4,2.26
Hela,Bouazizi,5ARCTIC5,5.0,3.4,4.38,4.28,4.26
Ahmed,Toumi,5GAMIX1,4.87,1.05,2.07,1.64,2.41
Karim,Baccouche,5NIDS3,4.27,4.16,3.39,4.36,4.04
Manel,Chouchene,4SIM3,1.78,2.27,2.43,3.82,2.58
Fares,Slimani,5TWIN2,3.89,3.5,3.25,4.48,3.78
Nour,Fourati,1A20,5.0,1.5,1.44,0.0,1.98
Rania,Driss,5INFINI5,2.44,5.0,5.0,2.9,3.84
Karim,Maaloul,5SAE2,4.09,1.11,2.2,0.76,2.04
Siwar,Abidi,3B10,2.73,3.85,4.37,5.0,3.99
Marwen,Mabrouk,2A40,3.41,5.0,4.81,4.18,4.35
Walid,Ben Ali,4SLEAM2,2.26,3.19,4.09,4.06,3.4
Leila,Ferjani,4SLEAM2,3.55,3.56,3.18,4.62,3.73
Nabil,Gharbi,5GAMIX1,5.0,2.98,3.6,5.0,4.15
Fares,Haddad,5INFINI5,5.0,2.85,3.35,5.0,4.05
Lotfi,Ben Amor,4SAE2,5.0,2.79,4.05,3.57,3.85
Mourad,Kanzari,5SAE2,1.14,3.13,3.69,5.0,3.24
Samira,Toumi,5SAE2,2.79,4.03,3.99,4.47,3.82
Hela,Nasri,4SE2,3.04,2.54,2.41,5.0,3.25
Leila,Zayani,1A20,5.0,2.04,2.32,1.02,2.59
Sonia,Mansour,5SLEAM2,4.82,2.93,3.43,4.22,3.85
Khalil,Ferjani,4IOSYS1,3.02,4.91,5.0,2.92,3.96
Sami,Khlifi,4NIDS3,5.0,2.1,1.97,1.32,2.6
Sarra,Sassi,3IA,4.9,3.89,4.19,4.31,4.32
Hiba,Jebali,5SAE2,5.0,3.13,3.24,4.68,4.02
Bechir,Ben Salah,5IOSYS1,0.47,1.86,1.83,5.0,2.29
Bilel,Abidi,5BI2,1.61,0.91,2.2,2.38,1.77
Nizar,Lahmar,5GAMIX1,4.04,2.35,0.0,1.14,1.88
Bechir,Jebali,5GAMIX1,3.66,4.13,3.47,4.26,3.88
Chokri,Abidi,4SAE2,2.32,1.13,2.48,4.3,2.56
Hamza,Zayani,5SIM3,5.0,2.52,3.65,4.47,3.91
Ines,Fourati,4SIM3,3.05,4.96,5.0,3.59,4.15
Dorra,Guettari,5IOSYS1,5.0,0.86,1.85,0.38,2.02
Oumaima,Saidi,5NIDS3,2.21,5.0,5.0,2.64,3.71
Nizar,Kanzari,4INFINI5,4.79,1.38,2.44,0.85,2.36
Nabil,Abidi,5ARCTIC5,5.0,1.75,2.05,2.37,2.79
Zied,Baccouche,3IA,2.35,5.0,3.12,4.76,3.81
Manel,Mansour,4TWIN2,1.51,5.0,4.92,1.95,3.34
Fares,Lahmar,4ARCTIC5,1.98,2.29,2.13,4.61,2.75
Ghada,Cherif,2A40,5.0,1.99,3.3,4.46,3.69
Mehdi,Rekik,3B10,5.0,2.37,3.32,4.03,3.68
Nadia,Ghanouchi,1A20,4.25,0.8,3.23,0.14,2.1
Rami,Baccouche,5SAE2,2.61,4.84,4.57,2.56,3.64
Leila,Trabelsi,3B10,3.47,4.99,5.0,3.23,4.17
Oussama,Makni,5SE2,5.0,1.44,2.68,0.87,2.5
Fatma,Maaloul,4DS5,5.0,0.0,2.82,1.11,2.23
Hamza,Trabelsi,5INFINI5,2.65,3.93,4.72,2.4,3.43
Hatem,Abidi,5TWIN2,5.0,1.38,1.69,0.61,2.17
Mariem,Mejri,2A40,4.8,1.68,1.69,0.69,2.22
Ghada,Bouazizi,4DS5,5.0,2.1,2.97,3.63,3.43
Zied,Mabrouk,5SLEAM2,3.04,4.01,3.78,4.07,3.73
Hend,Khemiri,3A22,3.98,1.97,2.94,4.62,3.38
Oussama,Ayari,4ARCTIC5,5.0,0.35,3.59,1.42,2.59
Wided,Belkhir,5SIM3,2.01,4.89,4.67,3.25,3.7
Olfa,Jebali,2P1,3.31,4.19,3.3,5.0,3.95
Oussama,Bouazizi,5SIM3,4.71,2.45,2.4,1.77,2.84
Iheb,Zayani,4TWIN2,2.65,4.93,5.0,2.82,3.85
Anis,Khlifi,5SAE2,4.92,2.46,4.28,4.04,3.93
Hiba,Gharbi,4SAE2,1.37,4.23,4.07,4.37,3.51
Anis,Ben Amor,3A22,5.0,2.3,2.27,0.72,2.57
Ahmed,Jebali,3A22,2.81,3.96,4.66,4.55,4.0
Hiba,Kanzari,4IOSYS1,5.0,3.36,3.27,3.91,3.89
Nour,Driss,5BI2,3.23,2.71,3.26,5.0,3.55
Lina,Abidi,4SLEAM2,3.18,4.61,4.41,3.59,3.95
Yasmine,Mejri,5TWIN2,1.61,2.2,1.82,5.0,2.66
Eya,Mansour,4NIDS3,4.34,3.34,3.29,4.55,3.88
Salma,Jaziri,5SIM3,2.33,3.87,3.83,4.14,3.54
Mouna,Zouari,1A20,5.0,2.37,2.04,0.37,2.45
Khalil,Rekik,4TWIN2,2.5,4.13,3.9,4.23,3.69
Marwen,Ayari,4BI2,2.69,5.0,4.26,3.44,3.85
Rania,Ghanouchi,5ARCTIC5,3.17,5.0,4.77,3.14,4.02
Ghassen,Ferjani,4ARCTIC5,2.27,5.0,4.38,1.58,3.31
Wided,Ayari,4SAE2,2.56,1.81,1.01,1.33,1.68
Ghada,Guettari,5SIM3,5.0,3.95,3.97,4.87,4.45
Rim,Karoui,4INFINI5,0.69,2.47,1.31,5.0,2.36
Hichem,Lahmar,5BI2,5.0,2.23,2.85,0.26,2.58
Zied,Sassi,1A20,3.07,5.0,5.0,2.62,3.92
Nadia,Rekik,5SIM3,2.75,4.29,5.0,5.0,4.26
Hamza,Khemiri,4SAE2,1.52,2.13,2.72,4.6,2.74
Ali,Jlassi,5BI2,3.26,5.0,5.0,2.04,3.82
Tarek,Chouchene,2P1,4.79,0.42,2.77,1.33,2.33
Nabil,Turki,5IOSYS1,4.43,1.71,3.1,1.4,2.66
Aymen,Trabelsi,3B10,2.52,3.68,2.29,5.0,3.37
Wassim,Driss,4INFINI5,5.0,1.3,1.63,0.17,2.02
Wafa,Toumi,4SLEAM2,3.86,4.57,4.69,2.82,3.99
Manel,Jlassi,4SIM3,2.82,4.2,5.0,2.75,3.69
Amina,Ben Amor,5BI2,4.25,2.51,2.95,3.1,3.2
Aymen,Chouchene,4ARCTIC5,4.85,1.45,2.31,0.72,2.33
Farah,Hamdi,4SIM3,1.85,4.43,5.0,3.15,3.61
Sabrine,Jaziri,4BI2,5.0,0.0,1.61,0.87,1.87
Mourad,Miled,3A22,5.0,4.03,2.66,3.98,3.92
Hichem,Trabelsi,5NIDS3,4.48,2.59,3.31,4.84,3.81
Nizar,Mansour,3A22,2.17,4.33,5.0,4.08,3.9
Samira,Makni,5NIDS3,1.22,2.78,1.28,3.66,2.24
Rim,Mansour,3B10,5.0,2.46,2.56,1.32,2.84
Salma,Driss,5ARCTIC5,2.58,5.0,4.49,2.95,3.76
Ghassen,Jlassi,5ARCTIC5,2.49,5.0,5.0,2.33,3.71
Cyrine,Trabelsi,5BI2,5.0,0.72,1.91,0.16,1.95
Haythem,Kanzari,5SIM3,2.71,4.52,4.1,4.09,3.86
Tarek,Bouazizi,2P1,3.67,5.0,5.0,4.18,4.46
Mohamed,Baccouche,5INFINI5,1.9,3.02,2.37,4.13,2.85
Farah,Kanzari,5DS5,3.1,5.0,5.0,2.39,3.87
Meriem,Ferjani,5TWIN2,2.35,2.87,1.22,5.0,2.86
Lobna,Khemiri,4INFINI5,2.09,2.31,2.49,3.73,2.65
Sonia,Ammar,5NIDS3,2.33,4.11,2.27,5.0,3.43
Sonia,Mabrouk,4IOSYS1,4.2,1.33,2.36,0.0,1.97
Ismail,Haddad,5NIDS3,4.07,0.78,3.12,1.39,2.34
Wafa,Maaloul,3B10,5.0,3.78,3.16,4.16,4.03
Amel,Nasri,3A22,4.46,1.67,1.09,1.03,2.07
Karim,Haddad,5NIDS3,4.26,0.0,1.07,1.48,1.7
Meriem,Belkhir,4GAMIX1,2.89,4.45,4.65,3.1,3.77
Hatem,Mabrouk,5DS5,4.12,3.73,3.83,3.22,3.73
Ahmed,Baccouche,2P1,1.81,5.0,5.0,2.65,3.61
Wided,Fourati,5GAMIX1,1.64,1.73,1.22,5.0,2.4
Ghassen,Chebbi,4SIM3,4.74,1.6,1.96,1.98,2.57
Walid,Gharbi,5DS5,1.78,5.0,5.0,2.77,3.64
Cyrine,Miled,4INFINI5,5.0,1.7,1.25,2.44,2.6
Ghada,Lahmar,5DS5,2.56,5.0,3.92,2.23,3.43
Aymen,Slimani,3A22,5.0,1.33,1.81,0.72,2.22
Haythem,Mabrouk,5TWIN2,2.08,5.0,5.0,2.69,3.69
Ines,Jebali,4GAMIX1,4.87,0.03,0.98,0.54,1.6
Hend,Nasri,5DS5,5.0,1.53,2.74,0.0,2.32
Omar,Miled,4BI2,5.0,2.48,3.67,4.37,3.88
