first_name,last_name,hard_skills,soft_skills,teamwork,creativity,class
Wassim,Turki,2.39,4.93,2.05,3.74,1A39
Nabil,Zouari,4.08,2.65,4.41,3.05,3A97
Sabrine,Mejri,0.15,1.07,2.44,3.46,3B93
Karim,Slimani,4.09,4.05,4.58,2.52,5SE99
Karim,Chaabane,4.54,3.13,4.59,0.36,1A74
Mohamed,Khemiri,1.68,0.4,2.05,1.71,5TWIN2
Sami,Zouari,3.62,1.04,4.28,3.68,3A88
Rania,Khemiri,3.59,3.89,0.08,0.56,2P19
Asma,Rekik,1.72,4.54,1.81,2.56,2A71
Hela,Nasri,3.51,2.95,2.27,1.65,3A10
Mouna,Khlifi,3.07,3.23,3.04,2.14,5SIM57
Emna,Toumi,2.35,3.8,0.3,0.74,2P19
Mohamed,Ammar,1.16,4.48,0.08,0.26,2A49
Omar,Bouazizi,0.6,3.04,1.04,0.39,2P51
Fethi,Maaloul,3.83,0.34,0.95,4.42,1A92
Wassim,Karoui,1.76,2.43,1.4,3.35,4GAMIX83
Amina,Bouazizi,4.17,2.79,3.43,0.36,2A77
Anis,Ghanouchi,4.04,0.32,1.13,1.17,1A90
Fethi,Ayari,1.99,4.17,4.19,0.53,1A16
Hichem,Ayari,3.55,1.58,2.22,0.25,3B23
Chaima,Kanzari,0.88,1.82,1.69,4.45,3B67
Hend,Ayari,3.08,2.5,0.76,3.7,5IOSYS5
Skander,Fourati,4.12,1.9,2.55,0.51,5GAMIX38
Lina,Makni,4.84,3.78,2.85,2.78,4SAE18
Oumaima,Ben Amor,2.35,0.03,0.45,1.47,5SIM57
Hiba,Zayani,2.46,2.85,3.73,3.5,3A75
Hamza,Trabelsi,0.02,1.22,0.77,4.46,1A18
Marwen,Ghanouchi,4.67,0.03,0.54,4.28,2A98
Sarra,Slimani,4.63,4.18,4.99,1.51,5IOSYS22
Karim,Chebbi,4.21,2.88,1.59,4.86,1A95
Ali,Maaloul,3.15,0.17,2.74,0.73,4SAE18
Fatma,Ghanouchi,1.43,2.29,3.05,2.18,2A98
Chokri,Miled,0.71,2.58,2.89,3.62,1A92
Amel,Jebali,3.84,2.14,2.16,4.7,3A88
Karim,Belkhir,2.09,3.44,1.67,2.07,2A25
Zaineb,Kanzari,3.18,1.83,2.64,1.67,2P87
Farah,Haddad,3.98,0.27,0.51,2.53,5IOSYS5
Amine,Zouari,3.06,2.77,2.81,4.72,5ARCTIC86
Amine,Khemiri,0.01,2.07,3.67,3.66,4GAMIX83
Walid,Driss,3.23,4.52,0.17,2.53,3B84
Samira,Baccouche,1.08,3.39,3.82,2.34,1A39
Leila,Ben Ali,3.51,2.62,2.51,3.39,2P51
Yasmine,Cherif,4.05,2.95,2.59,0.94,3A66
Fatma,Abidi,3.9,0.76,0.05,4.55,2A71
Sabrine,Zayani,1.41,3.29,4.59,1.22,3A82
Hiba,Toumi,3.1,3.51,3.95,1.91,4BI6
Farah,Mejri,1.23,2.7,2.69,3.01,3A75
Tarek,Maaloul,3.81,1.11,0.61,2.8,3B93
Sofiene,Jebali,3.16,2.38,0.88,3.07,3B67
Hend,Kanzari,0.54,0.32,0.16,3.72,3B11
Chokri,Chaabane,2.61,1.74,1.36,2.95,1A64
Skander,Slimani,3.64,1.61,0.73,4.09,4IOSYS40
Bilel,Karoui,1.06,0.8,4.71,2.22,5SAE59
Sarra,Gharbi,1.09,1.6,3.67,0.69,2P99
Rim,Kanzari,1.83,4.01,1.33,2.33,4SIM89
Lina,Slimani,0.04,2.45,2.65,2.2,3A82
Mariem,Abidi,2.8,4.06,2.44,3.93,5TWIN2
Ghada,Jebali,3.56,4.02,1.44,3.46,2A71
Leila,Miled,1.12,4.22,0.45,4.36,4IOSYS40
Chaima,Abidi,3.88,3.6,3.96,3.8,1A39
Rania,Mejri,0.65,1.39,2.94,0.82,3B23
Chaima,Chaabane,1.64,2.01,1.64,1.94,5IOSYS58
Sarra,Bouazizi,1.3,3.75,1.34,0.35,5SLEAM43
Wafa,Miled,2.24,4.62,2.17,1.04,5SIM57
Asma,Zouari,2.23,0.49,3.27,1.73,1A18
Amine,Driss,4.0,4.9,2.59,2.27,5SIM56
Sonia,Haddad,1.45,1.8,3.67,0.19,2A27
Bechir,Mabrouk,2.93,3.07,2.06,4.8,5TWIN2
Hatem,Bouazizi,0.01,0.76,0.02,3.67,2A32
Youssef,Driss,4.91,1.18,4.65,1.23,3A70
Wafa,Mabrouk,3.68,3.9,2.84,3.41,1A95
Amel,Jlassi,0.25,1.76,2.51,0.58,3B93
Samira,Ben Salah,0.44,0.39,2.35,0.01,5SE32
Haythem,Chebbi,4.08,4.46,3.51,4.99,5NIDS35
Siwar,Fourati,4.87,2.52,3.93,2.02,2A27
Nizar,Jebali,2.4,3.05,3.97,0.14,2A58
Marwen,Ben Salah,4.9,3.77,0.83,1.66,1A95
Siwar,Sassi,2.67,2.48,4.69,4.43,1A62
Oussama,Ayari,0.99,1.61,3.36,3.22,5NIDS7
Emna,Trabelsi,3.44,4.2,4.2,1.02,1A95
Lotfi,Baccouche,0.39,1.29,1.65,4.26,5ARCTIC86
Hedi,Belkhir,4.12,2.59,2.07,3.51,3B11
Ali,Lahmar,2.72,0.21,1.46,2.38,5IOSYS7
Bechir,Ferjani,3.28,2.6,3.44,2.75,1A74
Fares,Chebbi,3.1,0.17,1.57,3.13,2P30
Hend,Ammar,2.14,0.47,1.68,2.87,1A16
Amina,Makni,1.16,3.95,3.68,0.22,5SLEAM19
Adel,Sassi,3.53,1.49,1.82,1.34,5IOSYS7
Emna,Driss,3.03,0.21,2.57,4.39,3B67
Hedi,Mabrouk,3.16,0.37,0.72,2.46,3B85
Sabrine,Ghanouchi,1.26,0.62,0.03,3.63,1A13
Foued,Baccouche,1.02,1.04,4.96,0.23,5ARCTIC86
Ali,Nasri,0.55,0.77,2.41,2.8,5ARCTIC60
Mehdi,Ayari,2.22,4.74,4.55,0.76,2A58
Zaineb,Ghanouchi,2.95,0.64,3.2,2.25,3B12
Siwar,Mabrouk,4.62,3.76,2.68,1.41,5SIM56
Ghassen,Fourati,4.38,2.48,3.82,2.08,4SAE18
Lotfi,Gharbi,2.05,2.25,3.69,0.37,3B42
Hedi,Ben Amor,0.87,1.02,3.79,2.59,3A82
Rym,Toumi,2.24,0.07,2.96,1.32,3B60
Wafa,Abidi,4.27,4.91,2.25,1.23,4ARCTIC27
Nour,Miled,2.42,1.24,1.61,1.88,2P30
Adel,Mansour,4.87,4.32,1.11,1.38,3B93
Skander,Chouchene,3.43,2.22,0.3,0.01,3A55
Zied,Guettari,1.5,0.45,1.71,2.46,4GAMIX83
Khalil,Abidi,4.54,4.58,3.63,4.53,3B93
Hiba,Slimani,0.34,2.55,0.37,2.08,3B42
Ghada,Hamdi,3.28,1.81,1.04,3.69,2P99
Nour,Makni,2.7,0.64,3.08,4.97,4SIM89
Iheb,Jebali,1.07,4.3,4.15,4.71,2A4
Iheb,Jlassi,3.12,3.06,3.26,3.51,5ARCTIC60
Karim,Cherif,2.12,2.52,1.72,0.56,2P51
Wassim,Chebbi,1.59,0.67,2.16,2.35,3A97
Salma,Gharbi,3.11,2.95,1.88,2.84,5TWIN79
Mohamed,Kanzari,1.13,0.41,1.29,1.32,3A75
Omar,Ben Salah,0.64,0.59,1.9,0.51,5ARCTIC86
Emna,Miled,2.65,4.48,1.45,3.28,5SE100
Chokri,Zayani,1.25,2.86,1.06,2.85,3B42
Oussama,Saidi,2.2,0.78,2.25,1.64,4SAE18
Chokri,Abidi,0.32,2.3,3.88,1.04,3B67
Khadija,Kanzari,0.59,3.06,4.25,3.14,5TWIN2
Nabil,Ben Salah,4.85,0.17,2.04,2.3,4SIM62
Hedi,Zayani,4.31,1.57,1.71,4.37,1A90
Lotfi,Fourati,0.92,0.07,1.24,0.75,2A73
Walid,Bouazizi,1.35,0.75,2.2,4.29,5SIM57
Iheb,Cherif,4.08,2.19,3.46,3.0,1A10
Mehdi,Trabelsi,3.76,2.95,2.15,4.08,1A43
Amel,Kanzari,3.66,3.1,1.6,3.8,1A85
Ahmed,Chaabane,2.84,0.56,3.54,1.1,3B23
Anis,Karoui,3.98,2.56,3.47,4.0,3B96
Ghada,Sassi,1.25,0.15,0.12,1.61,3A97
Bechir,Abidi,0.28,1.26,0.59,4.54,2A89
Nizar,Ferjani,4.65,3.03,0.57,4.03,3B42
Rym,Khlifi,4.73,0.81,4.22,3.06,2P82
Sofiene,Karoui,1.76,3.94,3.22,0.91,2A27
Mariem,Chebbi,0.32,0.55,4.52,1.25,3B23
Cyrine,Fourati,1.48,2.2,2.39,4.99,4SAE18
Cyrine,Ghanouchi,2.42,0.08,4.97,4.15,2A73
Wided,Maaloul,2.47,0.92,4.12,3.27,1A1
Hend,Baccouche,2.05,1.0,1.29,1.04,3A60
Mohamed,Ferjani,3.14,0.81,2.65,3.57,3B67
Amine,Jaziri,1.0,2.09,3.07,3.38,2P21
Rim,Ben Ali,0.04,0.29,1.46,1.97,1A95
Khadija,Ammar,0.19,1.47,4.16,0.98,5IOSYS5
Sofiene,Belkhir,0.69,4.22,0.72,3.22,2A35
Nizar,Ben Salah,3.87,2.03,1.01,0.31,4ARCTIC27
Mourad,Cherif,1.49,3.22,3.69,1.87,1A18
Ines,Ammar,2.37,4.26,1.93,0.54,1A62
Yasmine,Ben Amor,3.76,1.94,0.06,3.05,4GAMIX39
Sonia,Bouazizi,0.55,1.01,0.52,1.58,3A73
Hichem,Turki,0.25,3.34,1.03,0.87,1A90
Mariem,Jaziri,1.47,0.75,1.52,1.16,1A16
Ali,Guettari,0.92,2.78,1.18,4.41,2A73
Lobna,Ammar,2.1,0.7,3.23,4.08,3B67
Sabrine,Makni,3.3,4.64,2.07,3.81,5SLEAM43
Iheb,Ayari,2.33,2.94,4.25,2.82,2P19
Rania,Karoui,2.02,4.97,0.03,3.33,3B12
Nour,Driss,4.01,1.26,0.92,0.33,2A77
Karim,Nasri,3.38,3.56,2.69,4.81,3A97
Skander,Saidi,1.37,0.55,0.96,4.07,1A62
Siwar,Baccouche,1.81,2.87,3.94,2.08,5NIDS35
Dorra,Khlifi,0.13,4.66,3.08,1.39,3A60
Yasmine,Slimani,2.46,4.9,2.99,2.24,1A92
Sonia,Ayari,2.03,3.4,0.43,1.85,2A75
Yasmine,Nasri,1.4,2.34,3.03,4.49,1A13
Eya,Baccouche,1.87,4.8,2.66,1.28,3B96
Rim,Sassi,1.13,4.67,1.53,4.67,5ARCTIC60
Lina,Toumi,2.79,2.77,3.99,3.36,4GAMIX83
Asma,Saidi,0.57,3.44,0.01,0.95,3A69
Mariem,Gharbi,4.97,4.85,4.21,1.53,5ARCTIC60
Aymen,Belkhir,4.2,4.56,0.46,3.19,5IOSYS22
Bechir,Belkhir,0.81,3.32,2.38,0.23,2P87
Mohamed,Zayani,1.46,1.35,2.3,2.23,1A85
Mourad,Ferjani,4.68,1.34,1.42,0.39,3B11
Khalil,Jebali,1.06,0.56,4.14,1.88,1A43
Dorra,Gharbi,3.19,3.62,1.14,3.75,1A33
Lobna,Khlifi,0.24,4.69,2.02,1.7,5TWIN79
Rami,Rekik,3.37,3.91,0.23,2.0,3B96
Bechir,Saidi,0.91,2.94,1.67,2.55,5SAE33
Haythem,Driss,2.82,2.59,2.24,0.55,4NIDS26
Fethi,Turki,1.86,4.38,4.07,1.93,1A64
Foued,Haddad,1.04,4.76,0.01,0.55,1A18
Bilel,Belkhir,2.78,2.72,0.48,2.15,3B49
Amel,Saidi,3.65,4.71,1.11,2.41,3B23
Chaima,Rekik,0.79,1.35,4.39,4.12,2A75
Mouna,Cherif,0.47,0.54,1.93,3.0,3B81
Hamza,Mabrouk,4.37,1.12,3.68,3.06,2P36
Haythem,Rekik,1.29,3.68,1.08,3.57,5GAMIX38
Nadia,Guettari,2.51,1.5,2.43,2.86,2A58
Rania,Ghanouchi,3.26,0.83,0.5,1.61,1A23
Nadia,Baccouche,3.28,4.96,1.74,2.61,2A25
Lotfi,Khlifi,4.65,1.77,0.07,1.67,3B4
Hiba,Ben Amor,4.77,1.5,0.95,4.66,2P30
Zied,Driss,0.24,3.34,4.59,0.28,5SAE2
Adel,Bouazizi,4.06,0.25,2.82,0.34,2A27
Fethi,Haddad,1.07,3.6,2.53,2.44,3A69
Bechir,Toumi,0.63,2.51,0.46,2.51,1A48
Tarek,Khlifi,1.44,4.68,3.43,3.13,3B4
Hedi,Karoui,3.88,3.19,4.56,2.26,4IOSYS40
Wafa,Jlassi,3.51,4.12,3.21,0.3,5TWIN2
Zied,Ben Salah,2.99,2.83,0.72,2.67,2A75
Sami,Belkhir,1.02,4.97,0.34,1.86,3B81
Ines,Baccouche,2.04,3.61,2.41,1.33,2A75
Khalil,Khlifi,2.53,1.46,1.61,0.8,3A97
Wafa,Rekik,2.64,3.44,2.64,0.84,1A10
Khadija,Ferjani,0.31,0.08,2.05,1.86,2P87
Khalil,Gharbi,1.99,2.63,4.27,0.58,4ARCTIC27
Iheb,Bouazizi,2.13,0.0,0.33,3.19,1A1
Marwen,Khemiri,4.81,4.09,3.28,4.89,4TWIN23
Hamza,Bouazizi,3.41,2.77,4.63,3.54,1A1
Oumaima,Trabelsi,2.41,1.2,2.25,4.19,1A7
Nadia,Chaabane,3.57,2.22,1.62,4.32,1A1
Cyrine,Maaloul,1.66,3.73,3.34,4.4,5SE32
Marwen,Toumi,1.53,2.36,2.46,2.5,1A43
Bilel,Mabrouk,3.21,0.61,3.14,0.94,4SAE18
Walid,Hamdi,3.79,1.76,0.66,2.58,1A95
Mohamed,Rekik,1.92,3.31,2.91,4.58,3A66
Samira,Saidi,2.86,3.63,2.55,2.93,2A63
Chokri,Sassi,4.4,1.44,2.7,2.91,5SLEAM19
Fatma,Bouazizi,4.09,2.51,3.99,1.22,2P19
Rania,Ben Amor,1.84,1.19,4.64,0.96,2A61
Anis,Mabrouk,3.21,4.19,2.13,0.5,5ARCTIC86
Ismail,Hamdi,1.65,0.73,4.0,1.78,3A82
Manel,Miled,0.96,2.85,1.84,0.69,1A13
Rania,Jaziri,0.56,1.18,1.38,3.01,4SAE18
Sonia,Driss,2.05,0.39,0.21,0.78,2A58
Khadija,Sassi,2.69,2.9,2.33,1.31,1A43
Rym,Turki,2.73,3.27,1.3,1.64,5SE99
Foued,Sassi,0.14,4.71,4.69,1.02,2P51
Dorra,Ben Ali,1.78,0.72,0.18,0.28,2A49
Nour,Jaziri,4.27,2.29,4.85,2.27,2A89
Wassim,Abidi,3.77,1.7,2.08,2.97,5ARCTIC60
Mouna,Ammar,2.59,3.79,0.37,1.77,3A60
Hela,Chebbi,1.08,3.21,2.7,3.06,1A82
Khadija,Ghanouchi,2.57,4.0,4.85,3.19,5NIDS35
Sami,Saidi,0.53,0.23,2.28,2.25,4NIDS26
Amel,Jaziri,4.42,1.01,3.51,4.31,5NIDS35
Mehdi,Turki,0.0,0.28,1.89,1.13,2P36
Amel,Miled,3.25,2.54,0.09,4.5,2P51
Haythem,Ferjani,0.71,3.77,4.96,1.33,2P51
Walid,Ben Amor,4.43,4.57,2.7,2.67,3B67
Ines,Ferjani,3.05,2.48,3.42,2.46,4SIM62
Dorra,Zayani,3.56,1.91,3.11,1.51,3B81
Hamza,Cherif,3.35,4.52,4.44,3.92,3B60
Salma,Khemiri,3.25,0.18,2.24,0.19,3B42
Zaineb,Ben Salah,4.15,0.86,4.8,2.79,1A23
Farah,Chebbi,0.4,4.11,3.65,4.98,1A62
Salma,Haddad,0.04,1.19,3.1,3.52,2A63
Wided,Baccouche,0.91,0.26,2.57,2.48,4SAE18
Ahmed,Ammar,2.8,3.33,0.34,2.59,5GAMIX79
Samira,Haddad,2.01,2.71,3.36,2.26,4ARCTIC87
Rami,Chouchene,0.9,1.41,4.42,2.48,1A13
Eya,Chebbi,0.38,2.54,2.57,4.15,5TWIN27
Samira,Mejri,3.12,2.96,0.49,4.75,3A19
Sofiene,Ayari,4.02,4.72,2.11,1.11,2P21
Rami,Ben Salah,4.77,1.09,2.37,1.35,3B42
Tarek,Baccouche,4.89,3.05,0.56,2.74,4SAE18
Rania,Turki,4.09,1.04,2.35,4.53,1A1
Rim,Toumi,4.38,1.79,0.59,1.83,3A69
Anis,Ayari,3.49,1.93,3.63,3.69,3A55
Samira,Fourati,4.77,0.73,1.94,3.12,1A16
Ismail,Ayari,3.21,0.76,2.59,0.67,1A85
Manel,Guettari,0.29,4.65,2.5,2.13,2P99
Iheb,Karoui,0.8,2.41,1.81,0.57,5SE32
Hend,Turki,4.73,3.71,3.6,2.7,1A13
Leila,Maaloul,4.58,4.74,4.95,1.05,5SIM57
Sonia,Khemiri,3.74,4.6,1.72,3.13,5IOSYS58
Samira,Karoui,0.69,2.93,4.22,0.74,2A6
Lina,Khemiri,1.22,3.7,0.71,1.4,2A89
Chokri,Ben Ali,1.92,1.76,1.07,0.37,2A89
Ghassen,Driss,2.11,3.79,3.16,0.65,5SLEAM19
Rym,Driss,4.3,2.84,3.21,2.19,3B4
Tarek,Trabelsi,1.94,1.53,2.4,4.2,4TWIN23
Dorra,Driss,3.07,3.7,1.14,0.6,4SAE18
Rim,Zouari,3.51,0.37,2.97,1.42,4NIDS26
Yasmine,Khlifi,1.82,4.12,0.13,1.14,1A10
Sabrine,Mansour,1.46,4.99,3.98,2.02,1A23
Amine,Rekik,4.97,2.85,2.52,3.65,4IOSYS40
Bilel,Slimani,0.34,4.34,3.82,0.61,4SIM89
Adel,Ben Ali,0.95,2.04,0.45,2.31,2A73
Sofiene,Mansour,3.94,1.41,4.85,4.51,2A98
Hend,Nasri,1.76,4.39,3.56,0.73,5SLEAM43
Manel,Baccouche,4.09,1.09,2.21,3.82,1A80
Fares,Guettari,0.77,2.7,2.81,2.34,5SLEAM43
Nadia,Khlifi,2.64,0.47,2.79,4.07,1A39
Adel,Miled,1.14,4.49,4.15,2.93,2A73
Lina,Nasri,1.28,2.78,3.15,2.16,4ARCTIC87
Bechir,Jebali,1.81,3.99,2.17,0.01,4ARCTIC87
Foued,Ghanouchi,0.07,4.53,3.16,0.0,1A43
Mourad,Abidi,3.79,4.39,0.51,0.26,1A95
Eya,Trabelsi,4.11,0.25,0.67,0.98,3B12
Oussama,Chebbi,3.27,0.67,4.51,2.26,3A88
Skander,Jebali,1.64,0.09,1.28,2.98,1A80
Mariem,Mejri,3.31,4.1,0.84,0.56,3B4
Amine,Hamdi,1.03,4.91,2.18,3.96,4SIM89
Marwen,Chebbi,3.27,0.09,3.14,1.5,4SAE18
Hichem,Karoui,2.44,3.11,1.38,1.51,3A10
Oussama,Sassi,0.08,3.86,4.75,4.45,3A82
Fethi,Belkhir,0.02,4.56,1.52,3.0,3A55
Anis,Jaziri,0.01,2.23,3.35,0.0,5SAE59
Hedi,Lahmar,0.8,2.11,1.4,4.63,5GAMIX38
Oussama,Ghanouchi,2.05,2.22,0.98,0.71,4NIDS26
Hedi,Fourati,3.63,0.4,2.62,3.07,1A33
Adel,Belkhir,0.25,1.85,2.08,2.67,5NIDS7
Zied,Hamdi,4.72,0.61,1.94,0.04,3A73
Rym,Chouchene,2.74,2.32,2.18,3.27,3B4
Sarra,Jebali,0.89,2.47,2.31,0.55,4SAE18
Mouna,Mejri,1.69,1.34,3.18,4.66,5IOSYS58
Khalil,Zouari,4.37,0.97,3.93,0.27,2A63
Nizar,Gharbi,0.24,4.13,2.69,2.16,3A69
Skander,Jaziri,2.61,3.47,1.3,0.74,4SAE18
Skander,Abidi,1.03,0.19,3.7,1.12,1A7
Asma,Mabrouk,0.18,0.56,1.53,1.85,2A32
Cyrine,Miled,0.26,0.83,1.54,1.29,1A92
Iheb,Ghanouchi,4.07,0.93,3.7,1.02,5SAE33
Hedi,Trabelsi,1.57,4.47,4.26,2.18,5INFINI39
Asma,Guettari,1.41,2.42,3.84,3.51,2A27
Bilel,Saidi,1.57,3.35,2.98,2.77,5BI77
Chaima,Ben Salah,0.67,3.49,0.76,1.75,1A10
Cyrine,Bouazizi,1.94,3.52,4.85,0.44,3A96
Foued,Mansour,1.67,3.96,2.69,4.11,3A82
Ines,Bouazizi,4.56,2.69,1.06,0.23,4TWIN23
Rim,Chebbi,1.59,4.28,0.63,1.07,1A80
Sonia,Chouchene,3.24,2.51,0.48,4.36,1A55
Nabil,Mejri,3.11,0.91,3.52,2.89,3B93
Rym,Rekik,4.5,1.05,2.07,2.31,4ARCTIC87
Amel,Mabrouk,0.61,3.42,0.47,1.27,3B67
Sonia,Zouari,4.76,4.45,4.27,3.14,2A75
Farah,Belkhir,1.24,4.65,1.41,4.74,4TWIN23
Samira,Kanzari,2.24,1.07,2.1,1.93,5SIM56
Yasmine,Ghanouchi,4.65,4.24,0.46,1.87,1A74
Ghada,Chebbi,4.44,0.45,1.64,0.17,2P87
Chaima,Toumi,3.07,3.08,4.39,4.61,3A60
Oumaima,Toumi,2.59,0.5,2.02,1.27,3A97
Youssef,Lahmar,4.94,1.78,0.41,4.87,5INFINI39
Nadia,Rekik,1.28,1.76,2.53,1.43,5GAMIX79
Mohamed,Toumi,2.96,3.37,0.57,1.58,3B93
Lobna,Lahmar,4.25,0.47,1.55,3.1,3A69
Rania,Jlassi,1.76,1.69,0.18,4.68,5INFINI39
Hatem,Saidi,3.86,4.1,4.61,2.52,4TWIN23
Nizar,Nasri,1.8,4.04,3.15,4.96,1A95
Bilel,Mansour,3.19,2.2,1.33,1.12,1A80
Mohamed,Lahmar,1.25,3.62,1.44,4.76,3A69
Lobna,Slimani,4.05,0.53,3.61,4.62,1A13
Olfa,Ben Amor,4.76,2.86,1.52,0.28,5TWIN79
Nour,Fourati,4.78,0.92,4.74,1.68,3A19
Walid,Nasri,2.63,4.32,4.5,2.82,5SE100
Ghassen,Makni,3.02,2.58,1.94,3.7,3A66
Iheb,Toumi,0.87,2.69,3.24,1.03,5SAE2
Hiba,Kanzari,0.01,3.49,3.57,1.57,5TWIN79
Ahmed,Chebbi,0.19,2.29,2.13,2.14,5NIDS7
Rami,Karoui,4.36,1.09,1.91,3.51,2A71
Foued,Mabrouk,0.84,1.56,3.33,1.15,2A99
Wassim,Saidi,1.06,0.42,3.1,0.74,5TWIN79
Marwen,Mansour,0.98,0.91,0.11,2.17,3A88
Lotfi,Maaloul,4.42,3.92,0.44,4.39,2A99
Asma,Turki,0.5,1.72,3.21,1.21,4SAE18
Siwar,Toumi,2.29,1.7,0.57,3.66,2P30
Mehdi,Zayani,4.33,2.78,2.55,2.45,4GAMIX83
Zied,Baccouche,1.53,0.44,4.14,0.19,3B60
Ines,Jaziri,1.98,3.32,3.11,2.96,2P87
Mariem,Zayani,2.08,3.83,2.98,3.76,3B84
Sonia,Makni,1.19,1.92,1.0,4.24,1A43
Sarra,Abidi,3.1,3.32,4.97,4.09,4NIDS26
Khalil,Turki,1.31,2.65,3.71,0.93,5GAMIX57
Emna,Belkhir,3.87,3.88,1.07,2.57,2P21
Ghada,Toumi,0.17,1.97,0.53,4.34,5SLEAM19
Dorra,Maaloul,4.09,3.87,0.22,4.02,5SAE59
Emna,Haddad,1.82,4.39,4.83,0.17,1A48
Hiba,Ferjani,3.59,1.97,0.75,0.42,3B67
Hichem,Ammar,4.69,4.05,2.63,4.05,5SE99
Anis,Gharbi,1.54,1.2,4.36,2.13,2P30
Siwar,Ayari,1.33,3.29,4.29,3.11,3B42
Nizar,Makni,2.76,1.56,4.2,0.31,3B60
Leila,Karoui,2.98,2.66,4.1,1.6,3A88
Amina,Karoui,2.86,1.66,4.18,2.4,5IOSYS5
Mouna,Bouazizi,4.55,2.36,3.98,2.57,5GAMIX79
Hichem,Zouari,4.84,3.08,3.49,2.95,5SE32
Nadia,Ben Amor,3.33,3.02,0.19,3.08,5SLEAM19
Zied,Bouazizi,0.16,0.66,3.87,1.94,1A33
Rim,Khlifi,0.73,4.74,1.67,2.54,3A75
Amel,Chouchene,1.87,4.14,0.13,2.32,5GAMIX38
Aymen,Zouari,1.75,1.83,0.52,3.23,3B84
Ahmed,Makni,0.06,0.96,1.36,2.58,5GAMIX57
Mourad,Toumi,0.38,0.07,2.46,0.22,5GAMIX79
Asma,Chouchene,1.97,1.15,3.62,0.99,2A89
Karim,Baccouche,2.12,3.4,4.76,3.12,2P36
Walid,Zouari,3.56,2.78,0.51,3.21,3A55
Mariem,Driss,1.35,2.36,1.97,3.49,3A60
Farah,Ben Amor,0.98,0.1,4.65,4.83,1A7
