first_name,last_name,gender,age,nationality,hard_skills,soft_skills,teamwork,creativity,class
Yasmine,Saidi,Female,24,Tunisian,1.67,1.65,1.69,1.3,2P44
Omar,Trabelsi,Male,23,Tunisian,0.17,4.9,2.84,2.8,2P44
Zaineb,Lahmar,Female,20,Tunisian,2.35,1.52,1.53,4.97,2P44
Manel,Hamdi,Female,21,Tunisian,4.55,3.33,1.11,0.81,2P44
Rami,Zouari,Male,37,Tunisian,0.83,3.83,1.56,4.47,2P44
Zaineb,Nasri,Female,22,Tunisian,0.07,4.45,4.73,0.8,2P44
Rami,Mabrouk,Male,19,Tunisian,1.9,4.62,1.29,1.77,2P44
Sarra,Ayari,Female,19,Tunisian,1.13,0.92,2.03,3.47,2P44
Olfa,Turki,Female,18,Tunisian,3.27,4.31,4.09,2.68,2P44
Omar,Saidi,Male,25,Tunisian,1.99,2.0,4.63,3.02,2P44
Rym,Khemiri,Female,19,Tunisian,1.55,4.23,3.16,4.04,2P44
Meriem,Lahmar,Female,19,Tunisian,2.31,3.17,0.36,0.64,2P44
Hatem,Lahmar,Male,23,Tunisian,0.34,3.79,1.09,0.1,2P44
Adel,Khemiri,Male,23,Tunisian,3.37,3.82,3.62,0.83,2P44
Tarek,Lahmar,Male,22,Tunisian,1.09,4.3,3.05,2.08,2P44
Moussa,Koffi,Male,22,Ivorian,3.74,2.33,2.89,0.08,2P44
Fatma,Ghanouchi,Female,18,Tunisian,1.33,4.96,4.85,3.71,2P44
Ghada,Mansour,Female,22,Tunisian,3.36,4.22,0.62,0.67,2P44
Karim,Driss,Male,19,Tunisian,3.38,4.35,3.28,2.45,2P44
Hamza,Abidi,Male,20,Tunisian,1.34,2.27,0.93,4.22,2P44
Sofiene,Mejri,Male,18,Tunisian,4.27,4.46,2.57,3.92,2P44
Omar,Fathi,Male,21,Libyan,4.44,4.82,1.95,4.49,2P44
Thierno,Camara,Male,18,Guinean,1.78,2.5,3.81,1.57,2P44
Nour,Fourati,Female,23,Tunisian,4.46,3.21,3.9,4.35,2P44
Foued,Sassi,Male,20,Tunisian,2.98,3.79,2.76,1.68,2P44
Lina,Slimani,Female,21,Tunisian,0.75,4.89,3.2,0.41,2P44
Wafa,Gharbi,Female,23,Tunisian,3.41,0.52,4.35,1.44,2P44
Olfa,Chebbi,Female,25,Tunisian,0.99,0.76,4.4,0.08,2P44
Rim,Abidi,Female,34,Tunisian,2.29,3.17,2.4,4.47,2P44
Adel,Maaloul,Male,18,Tunisian,3.41,3.22,0.21,0.7,2P44
Skander,Ghanouchi,Male,19,Tunisian,4.34,0.8,2.52,1.19,4GAMIX11
Hamza,Saidi,Male,23,Tunisian,4.09,3.12,1.04,2.74,4GAMIX11
Omar,Zayani,Male,25,Tunisian,3.18,4.68,3.71,0.65,4GAMIX11
Malika,Saidi,Female,18,Algerian,4.1,2.92,0.81,4.52,4GAMIX11
Mehdi,Zouari,Male,21,Tunisian,2.32,1.83,3.61,4.61,4GAMIX11
Bechir,Ben Ali,Male,19,Tunisian,3.46,2.69,0.06,3.77,4GAMIX11
Emna,Khemiri,Female,24,Tunisian,4.77,1.19,1.14,0.12,4GAMIX11
Hichem,Cherif,Male,22,Tunisian,1.54,2.31,0.39,3.73,4GAMIX11
Nabil,Bouazizi,Male,24,Tunisian,0.33,0.64,4.65,1.22,4GAMIX11
Siwar,Mejri,Female,31,Tunisian,3.45,4.12,4.5,0.89,4GAMIX11
Sonia,Ghanouchi,Female,20,Tunisian,2.97,1.23,0.37,4.01,4GAMIX11
Emna,Haddad,Female,23,Tunisian,2.79,0.62,0.13,3.32,4GAMIX11
Rym,Driss,Female,25,Tunisian,0.86,1.66,2.06,2.09,4GAMIX11
Fatma,Jlassi,Female,21,Tunisian,1.97,1.05,1.38,3.34,4GAMIX11
Wafa,Fourati,Female,21,Tunisian,2.01,1.19,0.66,1.92,4GAMIX11
Zaineb,Haddad,Female,40,Tunisian,0.99,1.01,2.32,0.96,4GAMIX11
Hend,Turki,Female,24,Tunisian,4.24,4.12,2.02,2.19,4GAMIX11
Nadia,Lahlou,Female,25,Moroccan,1.75,4.3,2.33,2.11,4GAMIX11
Ibrahim,Bamba,Male,24,Ivorian,0.93,1.96,2.95,1.15,4GAMIX11
Ousmane,Diallo,Male,19,Senegalese,1.74,0.55,0.82,0.85,4GAMIX11
Ali,Ghanouchi,Male,23,Tunisian,4.33,1.56,2.1,2.64,4GAMIX11
Wassim,Jlassi,Male,34,Tunisian,3.36,3.67,3.64,2.01,4GAMIX11
Nour,Gharbi,Female,24,Tunisian,1.87,2.69,3.87,3.88,4GAMIX11
Mourad,Belkhir,Male,19,Tunisian,0.3,1.58,0.92,1.55,4GAMIX11
Fatma,Chouchene,Female,23,Tunisian,3.48,0.94,0.27,2.98,4GAMIX11
Malika,Hassani,Female,21,Algerian,4.63,3.96,3.3,1.81,4GAMIX11
Youssef,Saidi,Male,19,Tunisian,4.95,0.38,2.52,0.8,4GAMIX11
Samira,Khlifi,Female,18,Tunisian,1.42,0.91,2.48,1.72,4GAMIX11
Bilel,Ghanouchi,Male,22,Tunisian,2.96,0.99,1.71,2.78,4GAMIX11
Rim,Toumi,Female,20,Tunisian,1.54,2.92,3.02,2.58,4GAMIX11
Zaineb,Mejri,Female,25,Tunisian,4.65,2.41,0.69,3.73,4GAMIX11
Kouadio,Yao,Male,20,Ivorian,3.82,1.12,4.31,2.38,4GAMIX11
Bilel,Rekik,Male,18,Tunisian,2.84,4.54,3.19,3.81,2P24
Lobna,Cherif,Female,24,Tunisian,2.28,0.75,1.49,1.0,2P24
Youssef,Abidi,Male,18,Tunisian,2.77,4.23,0.61,4.47,2P24
Cyrine,Mejri,Female,19,Tunisian,4.7,1.07,0.54,4.83,2P24
Mohamed,Lahmar,Male,25,Tunisian,3.95,0.49,4.16,1.61,2P24
Lina,Toumi,Female,18,Tunisian,1.65,4.44,3.99,4.0,2P24
Nathalie,Njoya,Female,23,Cameroonian,4.98,2.25,0.8,1.79,2P24
Haythem,Makni,Male,45,Tunisian,0.41,3.25,4.27,2.45,2P24
Tarek,Mansour,Male,25,Tunisian,1.14,3.25,4.09,0.74,2P24
Adel,Mabrouk,Male,22,Tunisian,4.45,5.0,2.59,2.57,2P24
Skander,Baccouche,Male,18,Tunisian,3.14,3.67,0.85,3.09,2P24
Mohamed,Mejri,Male,21,Tunisian,3.11,3.43,4.15,1.26,2P24
Aymen,Rekik,Male,20,Tunisian,4.49,2.34,4.93,0.96,2P24
Marwen,Fourati,Male,23,Tunisian,1.88,4.16,2.05,3.69,2P24
Amar,Cherif,Male,45,Algerian,3.9,1.47,4.04,1.25,2P24
Marwen,Hamdi,Male,20,Tunisian,4.62,3.87,4.15,1.14,2P24
Djamila,Rahmani,Female,24,Algerian,0.93,2.27,0.54,2.61,2P24
Mourad,Sassi,Male,23,Tunisian,0.41,2.61,3.0,2.24,2P24
Nathalie,Kamga,Female,19,Cameroonian,0.9,2.01,4.17,0.91,2P24
Haythem,Ben Salah,Male,19,Tunisian,1.65,1.02,0.97,0.31,2P24
Ndeye,Fall,Female,24,Senegalese,4.75,3.57,1.08,1.07,2P24
Leila,Saidi,Female,23,Moroccan,4.66,1.19,0.22,4.39,2P24
Emna,Ghanouchi,Female,23,Tunisian,0.32,1.81,1.33,3.16,2P24
Hiba,Driss,Female,18,Tunisian,1.65,3.41,2.25,2.19,2P24
Chokri,Khemiri,Male,22,Tunisian,3.11,0.52,4.04,3.36,2P24
Oumaima,Haddad,Female,23,Tunisian,0.58,1.09,0.99,2.37,2P24
Olfa,Driss,Female,22,Tunisian,1.9,2.71,0.97,3.01,2P24
Fatma,Zouari,Female,24,Tunisian,1.35,4.07,0.18,2.12,2P24
Nabil,Maaloul,Male,24,Tunisian,2.95,1.27,0.88,4.25,2P24
Salma,Jebali,Female,18,Tunisian,3.89,2.01,3.57,1.37,2P24
Fares,Belkhir,Male,19,Tunisian,1.18,0.77,0.5,0.26,2P24
Ismail,Bouazizi,Male,19,Tunisian,1.92,4.21,4.13,1.31,2P24
Leila,Sassi,Female,25,Tunisian,2.03,1.35,0.06,4.11,2P24
Aymen,Saidi,Male,20,Tunisian,0.39,4.73,3.17,1.45,2P24
Hela,Sassi,Female,21,Tunisian,3.66,3.38,2.21,3.07,2A20
Ahmed,Lahmar,Male,25,Tunisian,2.13,0.82,0.89,1.32,2A20
Karim,Rekik,Male,20,Tunisian,4.05,0.34,3.59,2.72,2A20
Leila,Maaloul,Female,19,Tunisian,2.18,3.03,0.62,2.27,2A20
Chaima,Maaloul,Female,20,Tunisian,3.11,4.86,1.94,1.16,2A20
Ahmed,Mejri,Male,25,Tunisian,3.4,1.67,2.83,1.9,2A20
Khadija,Ben Salah,Female,19,Tunisian,3.04,3.7,1.08,3.63,2A20
Karim,Chebbi,Male,25,Tunisian,0.76,0.98,4.59,3.92,2A20
Fares,Gharbi,Male,23,Tunisian,0.27,2.92,4.13,1.4,2A20
Nour,Makni,Female,25,Tunisian,0.55,3.58,3.97,1.46,2A20
Karim,Nasri,Male,20,Tunisian,4.52,1.03,0.38,4.15,2A20
Adel,Cherif,Male,23,Tunisian,2.71,1.74,1.11,3.83,2A20
Chaima,Mansour,Female,22,Tunisian,0.07,4.54,2.23,1.69,2A20
Dorra,Turki,Female,41,Tunisian,4.4,2.28,2.6,3.91,2A20
Leila,Mabrouk,Female,23,Tunisian,4.07,1.2,2.64,1.6,2A20
Siwar,Rekik,Female,21,Tunisian,4.9,3.66,2.56,3.58,2A20
Ines,Ayari,Female,19,Tunisian,3.54,2.39,4.27,3.45,2A20
Amina,Turki,Female,23,Tunisian,1.84,1.16,0.48,4.02,2A20
Anis,Rekik,Male,25,Tunisian,0.63,2.82,4.15,0.7,2A20
Nizar,Jlassi,Male,24,Tunisian,2.82,3.91,0.71,3.19,2A20
Sami,Jebali,Male,40,Tunisian,2.62,2.64,2.81,3.02,2A20
Lotfi,Ayari,Male,20,Tunisian,0.71,0.73,2.04,1.76,2A20
Marwen,Karoui,Male,22,Tunisian,1.17,1.83,4.89,0.37,2A20
Zohra,Haddad,Female,24,Algerian,4.09,0.77,1.8,4.61,2A20
Ismail,Zouari,Male,20,Tunisian,0.08,3.03,1.49,1.88,2A20
Ismail,Toumi,Male,22,Tunisian,4.41,1.0,4.69,4.24,2A20
Fatma,Makni,Female,24,Tunisian,2.96,2.72,3.53,0.36,2A20
Lotfi,Guettari,Male,18,Tunisian,4.14,0.25,1.91,0.41,2A20
Karim,Toumi,Male,28,Tunisian,0.44,2.69,2.6,3.51,2A20
Zaineb,Guettari,Female,27,Tunisian,1.34,4.16,2.89,2.33,2A20
Lina,Sassi,Female,20,Tunisian,4.76,2.2,3.67,3.08,2A20
Yasmine,Makni,Female,25,Tunisian,4.61,1.1,1.04,3.75,2A20
Aymen,Jaziri,Male,24,Tunisian,3.65,0.62,0.1,2.21,2A20
Hatem,Fourati,Male,19,Tunisian,3.25,3.95,0.56,4.74,2A20
Mame,Gueye,Female,25,Senegalese,3.3,0.94,1.01,0.67,2A49
Mouna,Nasri,Female,45,Tunisian,2.53,0.53,0.45,1.45,2A49
Mehdi,Chouchene,Male,23,Tunisian,0.5,3.19,0.36,3.39,2A49
Ghada,Zouari,Female,25,Tunisian,3.22,3.18,3.25,2.24,2A49
Asma,Belkhir,Female,18,Tunisian,1.52,2.57,3.16,2.39,2A49
Siwar,Chebbi,Female,25,Tunisian,1.84,1.39,2.82,1.45,2A49
Khalil,Mansour,Male,24,Tunisian,4.72,3.14,3.88,2.3,2A49
Fethi,Guettari,Male,19,Tunisian,1.8,1.05,4.56,0.11,2A49
Aminata,Keita,Female,21,Guinean,1.47,1.15,4.23,1.29,2A49
Lotfi,Jaziri,Male,24,Tunisian,1.81,0.5,4.5,2.56,2A49
Sarra,Driss,Female,18,Tunisian,0.48,0.4,2.28,2.03,2A49
Nour,Mejri,Female,20,Tunisian,2.81,0.41,0.05,3.51,2A49
Serge,Tchinda,Male,36,Cameroonian,4.85,1.05,1.82,4.1,2A49
Sonia,Hamdi,Female,22,Tunisian,0.83,1.53,2.33,2.1,2A49
Anis,Chebbi,Male,22,Tunisian,4.29,3.86,3.65,3.31,2A49
Bechir,Nasri,Male,25,Tunisian,3.43,3.88,1.02,4.99,2A49
Diarra,Coulibaly,Female,18,Malian,1.19,4.51,0.18,2.51,2A49
Koffi,Ouattara,Male,20,Ivorian,2.28,2.9,3.56,4.5,2A49
Foued,Saidi,Male,24,Tunisian,1.87,0.49,3.55,3.62,2A49
Fares,Driss,Male,23,Tunisian,0.9,4.95,4.97,1.46,2A49
Hicham,El Idrissi,Male,21,Moroccan,1.3,3.12,4.85,4.2,2A49
Kouadio,Kouame,Male,23,Ivorian,1.16,4.1,4.06,3.9,2A49
Karim,Ghanouchi,Male,18,Tunisian,0.92,4.74,2.12,0.4,2A49
Ahmed,Gharbi,Male,20,Tunisian,2.77,3.98,3.54,4.9,2A49
Wafa,Sassi,Female,23,Tunisian,2.21,1.64,4.53,0.85,2A49
Chaima,Ayari,Female,24,Tunisian,0.24,3.44,4.6,0.24,2A49
Nadia,Chouchene,Female,22,Tunisian,0.97,1.64,3.32,3.61,2A49
Omar,Mejri,Male,33,Tunisian,1.43,3.12,4.45,4.93,2A49
Moussa,Bamba,Male,21,Ivorian,4.0,3.89,1.85,2.84,2A49
Oussama,Khlifi,Male,23,Tunisian,2.24,2.74,3.91,4.22,2A49
Hela,Toumi,Female,24,Tunisian,4.22,3.15,1.19,1.37,2A98
Hatem,Mabrouk,Male,24,Tunisian,4.84,2.41,3.6,0.77,2A98
Manel,Ben Ali,Female,23,Tunisian,1.56,0.94,4.58,1.37,2A98
Mohamed,Gharbi,Male,19,Tunisian,1.75,1.98,0.4,0.3,2A98
Skander,Ben Ali,Male,18,Tunisian,2.22,4.94,3.19,1.03,2A98
Anis,Makni,Male,18,Tunisian,3.89,1.11,4.05,4.78,2A98
Ghassen,Driss,Male,23,Tunisian,0.21,2.35,0.56,0.83,2A98
Zied,Ammar,Male,18,Tunisian,2.8,0.34,3.49,1.46,2A98
Emna,Cherif,Female,22,Tunisian,2.78,0.83,2.58,1.83,2A98
Chokri,Baccouche,Male,25,Tunisian,0.44,3.13,5.0,1.17,2A98
Emna,Bouazizi,Female,19,Tunisian,2.44,0.36,2.98,4.73,2A98
Hela,Zouari,Female,19,Tunisian,2.66,0.94,2.43,2.14,2A98
Foued,Nasri,Male,23,Tunisian,2.32,0.05,0.28,3.3,2A98
Lotfi,Khlifi,Male,25,Tunisian,0.33,0.28,1.39,2.73,2A98
Mehdi,Ben Salah,Male,20,Tunisian,4.03,2.11,0.1,4.97,2A98
Ali,Gharbi,Male,24,Tunisian,3.34,0.53,2.23,0.57,2A98
Mohamed,Slimani,Male,20,Algerian,3.11,4.23,4.22,1.74,2A98
Khalil,Khemiri,Male,20,Tunisian,3.28,0.38,1.08,2.06,2A98
Wided,Cherif,Female,25,Tunisian,1.05,2.16,0.61,3.57,2A98
Nadia,Belkhir,Female,23,Tunisian,3.26,2.28,4.95,4.14,2A98
Mouna,Zayani,Female,21,Tunisian,2.86,3.98,3.71,1.14,2A98
Yasmine,Karoui,Female,21,Tunisian,4.04,2.63,4.67,1.15,2A98
Mehdi,Maaloul,Male,23,Tunisian,4.65,0.3,0.11,2.99,2A98
Ghada,Toumi,Female,19,Tunisian,1.37,3.68,0.4,0.91,2A98
Nour,Zouari,Female,21,Tunisian,1.52,3.87,3.04,2.47,2A98
Wafa,Trabelsi,Female,24,Tunisian,2.0,3.52,0.43,1.94,2A98
Amel,Karoui,Female,24,Tunisian,0.89,2.83,1.68,2.64,2A98
Sami,Slimani,Male,18,Tunisian,1.82,1.72,0.35,1.06,2A98
Rim,Ben Salah,Female,19,Tunisian,1.82,3.77,4.42,1.39,1A39
Khadija,Khemiri,Female,20,Tunisian,4.08,3.45,4.02,3.43,1A39
Olfa,Makni,Female,21,Tunisian,4.57,3.6,4.55,2.27,1A39
Mourad,Gharbi,Male,36,Tunisian,3.79,3.93,0.59,3.28,1A39
Rim,Gharbi,Female,23,Tunisian,2.21,4.63,2.4,3.17,1A39
Aymen,Ben Ali,Male,24,Tunisian,4.86,0.62,2.24,3.72,1A39
Hamza,Jebali,Male,18,Tunisian,3.9,1.15,0.69,1.02,1A39
Fatoumata,Bamba,Female,21,Ivorian,3.49,1.38,0.32,1.95,1A39
Hiba,Mabrouk,Female,21,Tunisian,0.56,3.16,0.72,0.49,1A39
Wided,Baccouche,Female,25,Tunisian,4.85,0.1,2.24,4.66,1A39
Olfa,Lahmar,Female,24,Tunisian,3.94,3.98,4.56,1.46,1A39
Hichem,Trabelsi,Male,18,Tunisian,3.46,1.72,2.27,2.85,1A39
Foued,Bouazizi,Male,22,Tunisian,1.2,1.34,1.97,1.67,1A39
Ali,Mohamed,Male,20,Libyan,0.66,1.36,4.81,0.45,1A39
Tarek,Omar,Male,19,Libyan,1.4,4.29,2.27,0.56,1A39
Cyrine,Ammar,Female,18,Tunisian,3.74,1.39,3.64,2.77,1A39
Ines,Haddad,Female,24,Tunisian,3.25,2.2,3.56,4.44,1A39
Rim,Maaloul,Female,20,Tunisian,3.02,4.05,3.39,1.2,1A39
Nour,Lahmar,Female,21,Tunisian,3.61,3.75,2.85,2.87,1A39
Cyrine,Gharbi,Female,19,Tunisian,0.36,3.58,2.58,0.52,1A39
Bilel,Zouari,Male,23,Tunisian,2.34,2.51,3.79,1.7,1A39
Sofiene,Gharbi,Male,25,Tunisian,2.71,1.72,2.26,1.43,1A39
Nabil,Makni,Male,22,Tunisian,4.86,3.88,0.58,2.77,1A39
Ali,Cherif,Male,24,Tunisian,4.29,4.37,1.0,3.42,1A39
Samuel,Mballa,Male,19,Cameroonian,1.07,4.31,4.34,4.62,1A39
Hichem,Ben Salah,Male,25,Tunisian,3.64,4.38,2.47,2.69,1A39
Ousmane,Kone,Male,25,Ivorian,1.82,4.05,1.86,2.64,1A39
Eya,Khemiri,Female,22,Tunisian,2.28,0.07,3.0,2.75,1A39
Ali,Bouazizi,Male,25,Tunisian,3.09,3.26,2.68,2.16,1A39
Ahmed,Berrada,Male,24,Moroccan,1.44,2.82,3.6,3.26,3A23
Samira,Fourati,Female,20,Tunisian,1.23,4.57,3.93,1.14,3A23
Fouad,Lahlou,Male,21,Moroccan,3.62,2.14,1.22,3.66,3A23
Yasmine,Trabelsi,Female,21,Tunisian,1.87,0.09,1.22,2.89,3A23
Chokri,Belkhir,Male,23,Tunisian,2.49,0.15,2.56,4.48,3A23
Iheb,Zayani,Male,18,Tunisian,4.19,4.71,3.26,1.8,3A23
Mame,Sarr,Female,18,Senegalese,1.97,3.05,0.81,3.43,3A23
Salma,Belkhir,Female,19,Tunisian,4.26,4.74,2.23,1.44,3A23
Djamila,Saidi,Female,27,Algerian,1.08,0.56,0.56,0.85,3A23
Leila,Cherif,Female,23,Tunisian,1.95,1.92,4.6,0.18,3A23
Ousmane,Kouassi,Male,20,Ivorian,0.09,0.35,1.4,1.35,3A23
Nabil,Khlifi,Male,24,Tunisian,0.91,2.18,0.61,3.3,3A23
Samuel,Fankam,Male,22,Cameroonian,0.82,0.2,0.12,2.81,3A23
Lina,Fourati,Female,21,Tunisian,0.6,0.3,1.89,4.27,3A23
Amine,Guettari,Male,22,Tunisian,3.51,3.59,0.82,4.14,3A23
Aicha,Cherif,Female,21,Algerian,1.66,4.66,2.66,1.01,3A23
Oussama,Abidi,Male,45,Tunisian,2.73,1.07,4.51,1.61,3A23
Hend,Toumi,Female,25,Tunisian,1.42,3.48,1.1,2.74,3A23
Adama,Traore,Male,19,Ivorian,2.61,3.95,1.96,4.94,3A23
Asma,Zayani,Female,18,Tunisian,4.87,3.75,1.47,1.64,3A23
Farida,Hassan,Female,19,Libyan,3.72,1.25,4.89,0.35,3A23
Asma,Hamdi,Female,36,Tunisian,0.16,1.34,2.15,1.93,3A23
Lotfi,Jlassi,Male,21,Tunisian,0.87,0.07,4.08,0.87,3A23
Yasmine,Sassi,Female,24,Tunisian,1.45,3.05,4.75,3.85,3A23
Ahmed,Zouari,Male,24,Tunisian,3.79,2.14,3.17,1.11,3A23
Felicite,Tchinda,Female,24,Cameroonian,0.11,3.07,2.85,0.85,3A23
Mariem,Haddad,Female,20,Tunisian,2.95,4.14,3.03,0.92,3A23
Ghada,Belkhir,Female,18,Tunisian,1.97,3.99,2.82,3.64,4SAE99
Wassim,Ammar,Male,20,Tunisian,0.14,1.75,0.67,2.52,4SAE99
