first_name,last_name,gender,age,nationality,hard_skills,soft_skills,teamwork,creativity,class,overall_skill,skill_variance,dominant_skill,weakest_skill,norm_hard_skills,norm_soft_skills,norm_teamwork,norm_creativity,cluster,dbscan_cluster,group_id
Salah,Yahiaoui,Male,31,Algerian,4.89,4.33,4.7,3.13,5BI95,4.262499999999999,0.6240916666666667,hard_skills,creativity,0.978,0.8660000000000001,0.9400000000000001,0.627254509018036,2,0,3
Ines,Zouari,Female,20,Tunisian,3.38,3.96,4.68,4.71,2A37,4.1825,0.406425,creativity,hard_skills,0.676,0.792,0.9359999999999999,0.9438877755511021,0,0,3
Aicha,Haddad,Female,22,Algerian,4.13,4.83,2.75,4.92,2A17,4.157500000000001,1.0051583333333334,creativity,teamwork,0.8260000000000001,0.9660000000000001,0.55,0.9859719438877754,2,0,3
Youssef,Ammar,Male,23,Tunisian,4.68,4.46,4.59,3.11,1A52,4.21,0.5459333333333333,hard_skills,creativity,0.9359999999999999,0.892,0.918,0.6232464929859719,2,0,3
Walid,Khemiri,Male,22,Tunisian,4.21,2.84,5.0,4.71,2P96,4.19,0.9164666666666667,teamwork,soft_skills,0.8420000000000001,0.568,1.0,0.9438877755511021,3,0,4
Khadija,Slimani,Female,20,Tunisian,4.6,4.77,3.33,3.98,3A63,4.17,0.42886666666666645,soft_skills,teamwork,0.9199999999999999,0.954,0.666,0.7975951903807614,2,0,4
Wided,Khlifi,Female,25,Tunisian,3.98,3.87,4.95,3.89,3B93,4.1725,0.27095833333333336,teamwork,soft_skills,0.796,0.774,0.9900000000000001,0.7795591182364728,2,0,4
Marwen,Lahmar,Male,20,Tunisian,4.44,3.63,3.74,4.9,2A27,4.1775,0.36069166666666685,creativity,soft_skills,0.8880000000000001,0.726,0.7480000000000001,0.9819639278557114,2,0,4
Lotfi,Jebali,Male,24,Tunisian,4.32,3.26,4.12,4.96,5SAE72,4.165,0.4923666666666668,creativity,soft_skills,0.8640000000000001,0.652,0.8240000000000001,0.9939879759519037,2,0,5
Khalid,Lahlou,Male,21,Moroccan,4.5,4.63,4.63,2.85,2P19,4.1525,0.7577583333333332,soft_skills,creativity,0.9,0.926,0.926,0.5711422845691382,2,0,5
Nizar,Baccouche,Male,19,Tunisian,3.36,4.51,4.17,4.53,1A60,4.1425,0.29942500000000005,creativity,hard_skills,0.672,0.902,0.8340000000000001,0.907815631262525,0,0,5
Farah,Trabelsi,Female,24,Tunisian,4.69,3.84,4.72,3.39,3A47,4.16,0.42993333333333333,teamwork,creativity,0.9380000000000002,0.768,0.944,0.6793587174348696,2,0,5
Mouna,Makni,Female,25,Tunisian,4.01,3.2,4.68,4.74,3A24,4.157500000000001,0.5169583333333333,creativity,soft_skills,0.802,0.6400000000000001,0.9359999999999999,0.9498997995991983,2,0,6
Aymen,Trabelsi,Male,19,Tunisian,3.47,4.4,3.99,4.63,4SAE79,4.1225000000000005,0.2592916666666666,creativity,hard_skills,0.6940000000000001,0.8800000000000001,0.798,0.9278557114228456,0,0,6
Dorra,Rekik,Female,20,Tunisian,3.43,4.32,4.14,4.59,4SAE42,4.12,0.2457999999999999,creativity,hard_skills,0.686,0.8640000000000001,0.828,0.9198396793587174,0,0,6
Walid,Saidi,Male,20,Tunisian,4.7,2.96,4.18,4.61,3B27,4.1125,0.6418250000000002,hard_skills,soft_skills,0.9400000000000001,0.592,0.836,0.9238476953907815,3,0,6
Wassim,Zayani,Male,25,Tunisian,3.93,2.88,4.82,4.86,5BI59,4.1225000000000005,0.8704250000000004,creativity,soft_skills,0.786,0.576,0.9640000000000001,0.9739478957915831,0,0,7
Manel,Khemiri,Female,23,Tunisian,4.5,4.63,3.89,3.18,3A77,4.05,0.44046666666666656,soft_skills,creativity,0.9,0.926,0.778,0.6372745490981964,2,0,7
Salma,Abidi,Female,20,Tunisian,2.46,4.9,4.1,4.96,4SAE79,4.105,1.356366666666667,creativity,hard_skills,0.492,0.9800000000000001,0.82,0.9939879759519037,0,0,7
Mouna,Belkhir,Female,19,Tunisian,4.78,2.99,3.89,4.63,2A75,4.0725,0.6721583333333333,hard_skills,soft_skills,0.9560000000000001,0.5980000000000001,0.778,0.9278557114228456,3,0,7
Adel,Gharbi,Male,23,Tunisian,3.4,4.57,4.93,3.37,5TWIN100,4.0675,0.6428249999999999,teamwork,creativity,0.68,0.9140000000000001,0.986,0.6753507014028055,2,0,8
Rim,Haddad,Female,23,Tunisian,4.94,3.85,3.81,3.64,3B88,4.0600000000000005,0.3524666666666669,hard_skills,creativity,0.9880000000000001,0.77,0.762,0.7294589178356713,2,0,8
Mehdi,Rekik,Male,25,Tunisian,4.35,3.76,4.42,3.7,4INFINI62,4.0575,0.14442499999999991,teamwork,creativity,0.87,0.752,0.884,0.7414829659318637,2,0,8
Ghassen,Rekik,Male,22,Tunisian,4.74,4.47,3.59,3.4,3A66,4.05,0.4288666666666668,hard_skills,creativity,0.9480000000000001,0.894,0.718,0.6813627254509017,2,0,8
Nadia,Karoui,Female,24,Tunisian,3.07,4.18,4.97,3.96,5BI95,4.045,0.6105666666666666,teamwork,hard_skills,0.614,0.836,0.994,0.7935871743486973,2,0,9
Sarra,Bouazizi,Female,22,Tunisian,4.84,4.24,3.7,3.36,3A22,4.035,0.41929999999999995,hard_skills,creativity,0.968,0.8480000000000001,0.7400000000000001,0.6733466933867734,2,0,9
Hedi,Rekik,Male,22,Tunisian,4.72,2.2,4.33,4.79,5TWIN100,4.01,1.4969999999999999,creativity,soft_skills,0.944,0.44000000000000006,0.8660000000000001,0.9599198396793586,3,0,9
Wassim,Karoui,Male,20,Tunisian,3.33,4.86,4.2,3.69,2A15,4.0200000000000005,0.4410000000000002,soft_skills,hard_skills,0.666,0.9720000000000001,0.8400000000000001,0.7394789579158316,2,0,9
Hichem,Abidi,Male,21,Tunisian,4.27,4.53,3.92,3.38,1A15,4.025,0.24736666666666673,soft_skills,creativity,0.854,0.9060000000000001,0.784,0.6773547094188376,2,0,10
Aminata,Gueye,Female,22,Senegalese,4.01,2.79,4.77,4.37,2P96,3.9850000000000003,0.7310333333333331,teamwork,soft_skills,0.802,0.558,0.954,0.8757515030060119,3,0,10
Mourad,Guettari,Male,20,Tunisian,3.08,4.82,3.36,4.73,3B17,3.9975,0.8204250000000005,soft_skills,hard_skills,0.6160000000000001,0.9640000000000001,0.672,0.9478957915831663,0,0,10
Lobna,Rekik,Female,23,Tunisian,4.12,4.12,4.37,3.48,2P48,4.0225,0.14469166666666672,teamwork,creativity,0.8240000000000001,0.8240000000000001,0.8740000000000001,0.6973947895791582,2,0,10
Nizar,Rekik,Male,18,Tunisian,4.14,4.75,4.06,3.12,5SE66,4.0175,0.4529583333333333,soft_skills,creativity,0.828,0.9500000000000001,0.8119999999999999,0.625250501002004,2,0,11
Nour,Fourati,Female,23,Tunisian,4.46,3.21,3.9,4.35,2P44,3.98,0.3221999999999999,hard_skills,soft_skills,0.892,0.642,0.78,0.8717434869739478,2,0,11
Bechir,Jaziri,Male,20,Tunisian,2.63,4.0,4.34,4.9,5BI71,3.9675,0.9327583333333336,creativity,hard_skills,0.526,0.8,0.868,0.9819639278557114,0,0,11
Walid,Rekik,Male,20,Tunisian,4.95,4.38,3.44,3.28,1A49,4.0125,0.6260916666666668,hard_skills,creativity,0.9900000000000001,0.876,0.6880000000000001,0.6573146292585169,2,0,11
Lotfi,Zouari,Male,23,Tunisian,4.75,4.67,4.8,1.77,3A46,3.9974999999999996,2.2080916666666663,teamwork,creativity,0.9500000000000001,0.934,0.96,0.3547094188376753,2,0,12
Foued,Belkhir,Male,22,Tunisian,2.61,4.52,3.68,4.96,5BI59,3.9425,1.0710916666666666,creativity,hard_skills,0.522,0.9039999999999999,0.7360000000000001,0.9939879759519037,0,0,12
Astou,Diouf,Female,25,Senegalese,4.96,3.63,2.69,4.55,5DS94,3.9574999999999996,1.0232916666666665,hard_skills,teamwork,0.992,0.726,0.538,0.9118236472945891,2,0,12
Meriem,Driss,Female,22,Tunisian,4.27,3.51,4.51,3.58,3B83,3.9675,0.2484249999999999,teamwork,soft_skills,0.854,0.702,0.902,0.7174348697394789,2,0,12
Rania,Belkhir,Female,24,Tunisian,4.57,4.65,4.83,1.92,4SE25,3.9925,1.9208250000000007,teamwork,creativity,0.9140000000000001,0.9300000000000002,0.9660000000000001,0.38476953907815625,2,0,13
Mehdi,Cherif,Male,23,Tunisian,3.04,3.46,4.34,4.94,5BI95,3.9450000000000003,0.7334333333333336,creativity,hard_skills,0.6080000000000001,0.6920000000000001,0.868,0.9899799599198397,0,0,13
Nizar,Lahmar,Male,20,Tunisian,4.6,4.85,2.46,4.03,4IOSYS87,3.9850000000000003,1.1513666666666664,soft_skills,teamwork,0.9199999999999999,0.97,0.492,0.8076152304609218,2,0,13
Hichem,Jlassi,Male,24,Tunisian,3.88,3.74,3.59,4.63,3B16,3.96,0.21353333333333327,creativity,teamwork,0.776,0.7480000000000001,0.718,0.9278557114228456,2,0,13
Lotfi,Rekik,Male,21,Tunisian,4.86,4.59,3.34,3.14,5NIDS70,3.9825,0.7538916666666667,hard_skills,creativity,0.9720000000000001,0.918,0.668,0.6292585170340681,2,0,14
Adama,Ouattara,Male,20,Ivorian,2.09,4.3,4.31,4.91,2A5,3.9025,1.5414250000000003,creativity,hard_skills,0.418,0.86,0.862,0.9839679358717434,0,0,14
Manel,Mejri,Female,23,Tunisian,4.86,4.12,3.77,3.17,4NIDS59,3.98,0.49806666666666694,hard_skills,creativity,0.9720000000000001,0.8240000000000001,0.754,0.6352705410821643,2,0,14
Sabrine,Ayari,Female,19,Tunisian,4.23,3.74,4.25,3.65,3A9,3.9675000000000002,0.10042500000000006,teamwork,creativity,0.8460000000000001,0.7480000000000001,0.8500000000000001,0.7314629258517034,2,0,14
Mohamed,Jaziri,Male,23,Tunisian,3.33,4.46,3.42,4.62,5SLEAM90,3.9575000000000005,0.45802500000000007,creativity,hard_skills,0.666,0.892,0.684,0.9258517034068136,0,0,15
Leila,Alaoui,Female,19,Moroccan,4.4,4.56,4.94,1.93,1A38,3.9575000000000005,1.8782916666666674,teamwork,creativity,0.8800000000000001,0.9119999999999999,0.9880000000000001,0.3867735470941883,2,0,15
Omar,Fathi,Male,21,Libyan,4.44,4.82,1.95,4.49,2P44,3.9250000000000003,1.762033333333334,soft_skills,teamwork,0.8880000000000001,0.9640000000000001,0.39,0.8997995991983967,2,0,15
Hatem,Baccouche,Male,25,Tunisian,4.2,1.92,4.84,4.57,1A8,3.8825000000000003,1.7805583333333335,teamwork,soft_skills,0.8400000000000001,0.384,0.968,0.9158316633266532,3,0,15
Oumaima,Khlifi,Female,19,Tunisian,4.11,4.75,4.29,2.67,2P43,3.9549999999999996,0.8065000000000001,soft_skills,creativity,0.8220000000000001,0.9500000000000001,0.8580000000000001,0.5350701402805611,2,0,16
Salma,Mabrouk,Female,20,Tunisian,4.59,1.5,4.68,4.67,2P34,3.86,2.477,teamwork,soft_skills,0.918,0.30000000000000004,0.9359999999999999,0.9358717434869739,3,0,16
Kadiatou,Sylla,Female,20,Guinean,3.92,4.83,2.53,4.44,1A15,3.9299999999999997,1.010066666666667,soft_skills,teamwork,0.784,0.9660000000000001,0.506,0.8897795591182365,2,0,16
Lina,Baccouche,Female,42,Tunisian,2.66,4.95,4.76,3.26,4SAE42,3.9075,1.263025,soft_skills,hard_skills,0.532,0.9900000000000001,0.952,0.6533066132264528,2,0,16
Adel,Fourati,Male,25,Tunisian,4.93,4.76,3.51,2.56,2A58,3.94,1.2472666666666663,hard_skills,creativity,0.986,0.952,0.702,0.5130260521042084,2,0,17
Siwar,Khemiri,Female,22,Tunisian,2.31,4.72,3.68,4.86,5TWIN70,3.8925,1.3900916666666667,creativity,hard_skills,0.462,0.944,0.7360000000000001,0.9739478957915831,0,0,17
Bechir,Gharbi,Male,22,Tunisian,4.5,1.33,4.98,4.61,3A26,3.8550000000000004,2.875766666666667,teamwork,soft_skills,0.9,0.266,0.9960000000000001,0.9238476953907815,3,0,17
Salma,Fourati,Female,21,Tunisian,4.05,4.82,4.01,2.82,3B47,3.9250000000000003,0.6816333333333335,soft_skills,creativity,0.81,0.9640000000000001,0.802,0.565130260521042,2,0,17
Meriem,Makni,Female,20,Tunisian,4.95,4.05,4.13,2.57,3B52,3.925,0.9814333333333337,hard_skills,creativity,0.9900000000000001,0.81,0.8260000000000001,0.5150300601202404,2,0,18
Ghada,Chebbi,Female,18,Tunisian,1.21,4.96,4.62,4.51,5NIDS70,3.8249999999999997,3.0758999999999994,soft_skills,hard_skills,0.242,0.992,0.924,0.9038076152304608,0,0,18
Chantal,Tchinda,Female,23,Cameroonian,4.84,2.51,3.93,4.09,3A77,3.8425,0.9464916666666667,hard_skills,soft_skills,0.968,0.502,0.786,0.8196392785571142,3,0,18
Emna,Nasri,Female,24,Tunisian,3.78,4.43,3.74,3.68,2A27,3.9074999999999998,0.12302499999999987,soft_skills,creativity,0.756,0.886,0.7480000000000001,0.7374749498997996,2,0,18
Nadia,Berrada,Female,21,Moroccan,3.12,4.4,3.84,4.27,3A24,3.9074999999999998,0.33289166666666664,soft_skills,hard_skills,0.6240000000000001,0.8800000000000001,0.768,0.8557114228456912,0,0,19
Khadija,Maaloul,Female,24,Tunisian,4.54,4.07,4.75,2.11,2P44,3.8674999999999997,1.453625,teamwork,creativity,0.908,0.8140000000000001,0.9500000000000001,0.42284569138276545,2,0,19
Khadija,Toumi,Female,20,Tunisian,3.46,4.34,3.18,4.48,4SLEAM6,3.865,0.4123666666666667,creativity,teamwork,0.6920000000000001,0.868,0.6360000000000001,0.8977955911823647,0,0,19
Sofiene,Khlifi,Male,38,Tunisian,4.27,3.34,4.4,3.52,2P44,3.8825,0.281225,teamwork,soft_skills,0.854,0.668,0.8800000000000001,0.7054108216432865,2,0,19
Yasmine,Zouari,Female,21,Tunisian,3.89,4.58,4.77,2.36,2P19,3.9,1.1969999999999998,teamwork,creativity,0.778,0.916,0.954,0.47294589178356705,2,0,20
Karim,Abidi,Male,19,Tunisian,3.16,4.46,2.73,4.97,5SIM32,3.83,1.1184666666666665,creativity,teamwork,0.6320000000000001,0.892,0.546,0.9959919839679358,0,0,20
Awa,Diallo,Female,20,Malian,4.58,1.32,4.93,4.47,4NIDS84,3.825,2.827366666666666,teamwork,soft_skills,0.916,0.264,0.986,0.8957915831663326,3,0,20
Siwar,Ammar,Female,22,Tunisian,3.74,4.43,4.94,2.45,2P34,3.8899999999999997,1.1634,teamwork,creativity,0.7480000000000001,0.886,0.9880000000000001,0.4909819639278557,2,0,20
Skander,Guettari,Male,21,Tunisian,4.05,4.75,4.29,2.37,3A9,3.865,1.0776999999999999,soft_skills,creativity,0.81,0.9500000000000001,0.8580000000000001,0.4749498997995992,2,0,21
Ahmed,Saidi,Male,18,Tunisian,3.94,2.32,4.78,4.27,1A52,3.8274999999999997,1.1294250000000001,teamwork,soft_skills,0.788,0.46399999999999997,0.9560000000000001,0.8557114228456912,3,0,21
Fares,Baccouche,Male,20,Tunisian,4.36,4.81,1.65,4.4,3B88,3.805,2.105366666666667,soft_skills,teamwork,0.8720000000000001,0.962,0.33,0.8817635270541082,2,0,21
Chokri,Makni,Male,18,Tunisian,3.82,3.09,4.5,3.97,3B47,3.845,0.3384333333333334,teamwork,soft_skills,0.764,0.618,0.9,0.7955911823647294,2,0,21
Ali,Fourati,Male,20,Tunisian,4.15,4.37,4.32,2.62,2P32,3.865,0.6977666666666668,soft_skills,creativity,0.8300000000000001,0.8740000000000001,0.8640000000000001,0.5250501002004008,2,0,22
Ahmed,Gharbi,Male,20,Tunisian,2.77,3.98,3.54,4.9,2A49,3.7975,0.790291666666667,creativity,hard_skills,0.554,0.796,0.7080000000000001,0.9819639278557114,0,0,22
Rami,Guettari,Male,21,Tunisian,4.22,3.47,4.35,3.36,3B88,3.8499999999999996,0.25713333333333316,teamwork,creativity,0.844,0.6940000000000001,0.87,0.6733466933867734,2,0,22
Ghassen,Khemiri,Male,20,Tunisian,4.26,4.84,2.94,3.37,1A32,3.8525,0.7355583333333332,soft_skills,teamwork,0.852,0.968,0.588,0.6753507014028055,2,0,22
Meriem,Nasri,Female,19,Tunisian,4.09,4.69,4.58,2.02,4SIM36,3.845,1.5483000000000002,soft_skills,creativity,0.8180000000000001,0.9380000000000002,0.916,0.4048096192384769,2,0,23
Samira,Ben Ali,Female,19,Tunisian,4.72,4.09,1.49,4.74,4NIDS14,3.76,2.3812666666666664,creativity,teamwork,0.944,0.8180000000000001,0.298,0.9498997995991983,2,0,23
Cyrine,Saidi,Female,25,Tunisian,0.96,4.76,4.45,4.96,5INFINI55,3.7824999999999998,3.5846916666666666,creativity,hard_skills,0.192,0.952,0.8900000000000001,0.9939879759519037,0,0,23
Farah,Mejri,Female,19,Tunisian,4.97,3.87,4.1,2.42,5TWIN70,3.84,1.1205999999999998,hard_skills,creativity,0.994,0.774,0.82,0.48496993987975945,2,0,23
Lobna,Zouari,Female,20,Tunisian,3.57,4.64,4.42,2.75,4NIDS71,3.8449999999999998,0.7457666666666665,soft_skills,creativity,0.714,0.9279999999999999,0.884,0.5511022044088176,2,0,24
Foued,Ben Ali,Male,22,Tunisian,4.86,3.25,3.3,3.87,2P81,3.8200000000000003,0.5598000000000002,hard_skills,soft_skills,0.9720000000000001,0.65,0.66,0.7755511022044087,2,0,24
Fethi,Chebbi,Male,21,Tunisian,3.02,4.89,3.07,4.36,3A22,3.835,0.8793666666666667,soft_skills,hard_skills,0.6040000000000001,0.978,0.614,0.87374749498998,0,0,24
Asma,Slimani,Female,25,Tunisian,4.1,3.68,4.32,3.21,2P21,3.8274999999999997,0.23995833333333336,teamwork,creativity,0.82,0.7360000000000001,0.8640000000000001,0.6432865731462926,2,0,24
Dorra,Ben Salah,Female,22,Tunisian,4.06,4.66,4.93,1.72,4INFINI28,3.8425,2.134425,teamwork,creativity,0.8119999999999999,0.932,0.986,0.344689378757515,2,0,25
Wafa,Hamdi,Female,20,Tunisian,4.34,1.63,4.13,4.86,3A63,3.74,2.072866666666667,creativity,soft_skills,0.868,0.326,0.8260000000000001,0.9739478957915831,3,0,25
Marwen,Ben Salah,Male,24,Tunisian,2.91,4.64,3.12,4.53,2P81,3.8,0.8309999999999998,soft_skills,hard_skills,0.5820000000000001,0.9279999999999999,0.6240000000000001,0.907815631262525,0,0,25
Hiba,Haddad,Female,25,Tunisian,4.92,4.77,3.17,2.44,1A60,3.8249999999999997,1.4797666666666665,hard_skills,creativity,0.984,0.954,0.634,0.4889779559118236,2,0,25
Aminata,Cisse,Female,23,Senegalese,4.91,4.97,4.57,0.79,4SAE79,3.8099999999999996,4.084533333333334,soft_skills,creativity,0.9820000000000001,0.994,0.9140000000000001,0.15831663326653306,2,0,26
Adel,Turki,Male,20,Tunisian,1.79,4.84,3.88,4.67,4SLEAM6,3.795,1.9616333333333331,soft_skills,hard_skills,0.35800000000000004,0.968,0.776,0.9358717434869739,0,0,26
Hichem,Mansour,Male,21,Tunisian,4.74,2.75,4.45,3.26,3A63,3.8000000000000003,0.9000666666666669,hard_skills,soft_skills,0.9480000000000001,0.55,0.8900000000000001,0.6533066132264528,2,0,26
Sofiene,Mejri,Male,18,Tunisian,4.27,4.46,2.57,3.92,2P44,3.805,0.7278999999999999,soft_skills,teamwork,0.854,0.892,0.514,0.785571142284569,2,0,26
Hedi,Baccouche,Male,23,Tunisian,4.14,3.66,4.11,3.31,5SLEAM90,3.805,0.15709999999999996,hard_skills,creativity,0.828,0.7320000000000001,0.8220000000000001,0.6633266533066131,2,0,27
Rami,Fourati,Male,18,Tunisian,3.32,4.3,3.33,4.26,4NIDS71,3.8024999999999998,0.30429166666666657,soft_skills,hard_skills,0.664,0.86,0.666,0.8537074148296592,0,0,27
Ghada,Hamdi,Female,25,Tunisian,3.44,3.31,4.21,4.23,3A22,3.7975000000000003,0.2408916666666668,creativity,soft_skills,0.6880000000000001,0.662,0.8420000000000001,0.8476953907815631,0,0,27
Leila,Abidi,Female,25,Tunisian,4.65,4.39,3.51,2.61,1A100,3.7899999999999996,0.8568000000000002,hard_skills,creativity,0.9300000000000002,0.878,0.702,0.5230460921843687,2,0,27
Sarra,Jebali,Female,23,Tunisian,3.74,3.87,3.64,3.96,2A47,3.8025,0.019891666666666644,creativity,teamwork,0.7480000000000001,0.774,0.7280000000000001,0.7935871743486973,2,0,28
Jeanne,Abanda,Female,18,Cameroonian,4.06,3.08,4.49,3.54,4SAE99,3.7924999999999995,0.37649166666666667,teamwork,soft_skills,0.8119999999999999,0.6160000000000001,0.8980000000000001,0.7094188376753506,2,0,28
Marwen,Gharbi,Male,21,Tunisian,1.56,4.88,4.83,3.92,2P85,3.7975,2.4197583333333332,soft_skills,hard_skills,0.31200000000000006,0.976,0.9660000000000001,0.785571142284569,0,0,28
Mehdi,Ben Ali,Male,22,Tunisian,4.99,4.4,2.27,3.41,5SLEAM90,3.7675,1.4216250000000004,hard_skills,teamwork,0.9980000000000001,0.8800000000000001,0.454,0.6833667334669338,2,0,28
Ghada,Zayani,Female,21,Tunisian,4.2,3.67,3.49,3.82,1A60,3.795,0.0911,hard_skills,teamwork,0.8400000000000001,0.734,0.6980000000000001,0.7655310621242484,2,0,29
Sabrine,Chebbi,Female,23,Tunisian,1.27,4.67,4.83,4.36,2P60,3.7824999999999998,2.843691666666667,teamwork,hard_skills,0.254,0.934,0.9660000000000001,0.87374749498998,0,0,29
Sami,Toumi,Male,18,Tunisian,4.95,3.74,2.4,3.98,2P44,3.7675000000000005,1.1047583333333335,hard_skills,teamwork,0.9900000000000001,0.7480000000000001,0.48,0.7975951903807614,2,0,29
Nadia,Bouazizi,Female,20,Tunisian,4.5,4.26,3.52,2.86,1A70,3.7849999999999997,0.5542333333333334,hard_skills,creativity,0.9,0.852,0.7040000000000001,0.5731462925851702,2,0,29
Nabil,Rekik,Male,24,Tunisian,3.32,4.39,4.35,3.12,2A58,3.795,0.4477666666666664,soft_skills,creativity,0.664,0.878,0.87,0.625250501002004,2,0,30
Sarra,Chouchene,Female,25,Tunisian,4.97,4.06,1.74,4.17,4NIDS13,3.735,1.9333666666666665,hard_skills,teamwork,0.994,0.8119999999999999,0.34800000000000003,0.8356713426853707,2,0,30
Omar,Baccouche,Male,19,Tunisian,2.58,4.48,4.19,3.91,3A86,3.79,0.7048666666666669,soft_skills,hard_skills,0.516,0.8960000000000001,0.8380000000000001,0.783567134268537,0,0,30
Foued,Ayari,Male,22,Tunisian,3.91,3.34,4.58,3.28,2P44,3.7775,0.3668250000000002,teamwork,creativity,0.782,0.668,0.916,0.6573146292585169,2,0,30
Rania,Baccouche,Female,22,Tunisian,4.14,4.06,3.49,3.47,3A9,3.79,0.12926666666666645,hard_skills,creativity,0.828,0.8119999999999999,0.6980000000000001,0.6953907815631262,2,0,31
Hamza,Driss,Male,20,Tunisian,1.19,4.72,4.72,4.37,1A38,3.75,2.939933333333333,soft_skills,hard_skills,0.238,0.944,0.944,0.8757515030060119,0,0,31
Amel,Baccouche,Female,23,Tunisian,4.91,4.4,2.09,3.62,1A15,3.755,1.5135000000000005,hard_skills,teamwork,0.9820000000000001,0.8800000000000001,0.418,0.7254509018036072,2,0,31
Leila,Mejri,Female,19,Tunisian,4.69,2.99,4.43,2.85,2A2,3.7399999999999998,0.9110666666666667,hard_skills,creativity,0.9380000000000002,0.5980000000000001,0.886,0.5711422845691382,2,0,31
Anis,Chebbi,Male,22,Tunisian,4.29,3.86,3.65,3.31,2A49,3.7775000000000003,0.16809166666666664,hard_skills,creativity,0.8580000000000001,0.772,0.73,0.6633266533066131,2,0,32
Hedi,Jaziri,Male,22,Tunisian,2.73,4.35,3.29,4.68,5INFINI88,3.7625,0.8254249999999997,creativity,hard_skills,0.546,0.87,0.658,0.9378757515030058,0,0,32
Foued,Driss,Male,18,Tunisian,4.45,4.85,3.89,1.91,1A22,3.7750000000000004,1.7008999999999999,soft_skills,creativity,0.8900000000000001,0.97,0.778,0.3827655310621242,2,0,32
Eya,Zayani,Female,21,Tunisian,3.07,3.86,4.01,4.1,5SE66,3.76,0.22139999999999996,creativity,hard_skills,0.614,0.772,0.802,0.8216432865731461,0,0,32
Fatma,Fourati,Female,22,Tunisian,3.46,4.88,2.93,3.84,5SE66,3.7775,0.6794916666666665,soft_skills,teamwork,0.6920000000000001,0.976,0.5860000000000001,0.7695390781563125,2,0,33
Meriem,Khemiri,Female,25,Tunisian,4.59,1.13,4.83,4.12,3A77,3.6675000000000004,2.9486916666666665,teamwork,soft_skills,0.918,0.22599999999999998,0.9660000000000001,0.8256513026052104,3,0,33
Wassim,Trabelsi,Male,18,Tunisian,4.51,4.76,1.92,3.89,4SAE79,3.77,1.6548666666666667,soft_skills,teamwork,0.902,0.952,0.384,0.7795591182364728,2,0,33
Fatma,Ghanouchi,Female,18,Tunisian,1.33,4.96,4.85,3.71,2P44,3.7125000000000004,2.8421583333333333,soft_skills,hard_skills,0.266,0.992,0.97,0.7434869739478958,0,0,33
Zainab,Ali,Female,23,Libyan,3.87,3.87,4.05,3.24,4BI80,3.7575,0.12622499999999992,teamwork,creativity,0.774,0.774,0.81,0.6492985971943888,2,0,34
